"","Date","Obs","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5114",1971-01-01,-9.05,"01",-6.457,-6.854,-7.183,-7.342,-6.169,-7.08,-6.806,-5.591,-7.372,-7.202
"5115",1971-01-02,-9.55,"01",-6.957,-7.354,-7.683,-7.842,-6.669,-7.58,-7.306,-6.091,-7.872,-7.702
"5116",1971-01-03,-8.65,"01",-6.057,-6.454,-6.783,-6.942,-5.769,-6.68,-6.406,-5.191,-6.972,-6.802
"5117",1971-01-04,-2.95,"01",-0.357,-0.754,-1.083,-1.242,-0.0690000000000004,-0.98,-0.706,0.509,-1.272,-1.102
"5118",1971-01-05,-0.15,"01",2.443,2.046,1.717,1.558,2.731,1.82,2.094,3.309,1.528,1.698
"5119",1971-01-06,-7.25,"01",-4.657,-5.054,-5.383,-5.542,-4.369,-5.28,-5.006,-3.791,-5.572,-5.402
"5120",1971-01-07,-7.65,"01",-5.057,-5.454,-5.783,-5.942,-4.769,-5.68,-5.406,-4.191,-5.972,-5.802
"5121",1971-01-08,0.95,"01",3.543,3.146,2.817,2.658,3.831,2.92,3.194,4.409,2.628,2.798
"5122",1971-01-09,4.35,"01",6.943,6.546,6.217,6.058,7.231,6.32,6.594,7.809,6.028,6.198
"5123",1971-01-10,4.55,"01",7.143,6.746,6.417,6.258,7.431,6.52,6.794,8.009,6.228,6.398
"5124",1971-01-11,3.25,"01",5.843,5.446,5.117,4.958,6.131,5.22,5.494,6.709,4.928,5.098
"5125",1971-01-12,1.45,"01",4.043,3.646,3.317,3.158,4.331,3.42,3.694,4.909,3.128,3.298
"5126",1971-01-13,0.15,"01",2.743,2.346,2.017,1.858,3.031,2.12,2.394,3.609,1.828,1.998
"5127",1971-01-14,-1.85,"01",0.743,0.346,0.0169999999999999,-0.142,1.031,0.12,0.394,1.609,-0.172,-0.002
"5128",1971-01-15,-2.95,"01",-0.357,-0.754,-1.083,-1.242,-0.0690000000000004,-0.98,-0.706,0.509,-1.272,-1.102
"5129",1971-01-16,-1.15,"01",1.443,1.046,0.717,0.558,1.731,0.82,1.094,2.309,0.528,0.698
"5130",1971-01-17,-0.75,"01",1.843,1.446,1.117,0.958,2.131,1.22,1.494,2.709,0.928,1.098
"5131",1971-01-18,1.35,"01",3.943,3.546,3.217,3.058,4.231,3.32,3.594,4.809,3.028,3.198
"5132",1971-01-19,2.25,"01",4.843,4.446,4.117,3.958,5.131,4.22,4.494,5.709,3.928,4.098
"5133",1971-01-20,1.65,"01",4.243,3.846,3.517,3.358,4.531,3.62,3.894,5.109,3.328,3.498
"5134",1971-01-21,1.55,"01",4.143,3.746,3.417,3.258,4.431,3.52,3.794,5.009,3.228,3.398
"5135",1971-01-22,0.45,"01",3.043,2.646,2.317,2.158,3.331,2.42,2.694,3.909,2.128,2.298
"5136",1971-01-23,0.45,"01",3.043,2.646,2.317,2.158,3.331,2.42,2.694,3.909,2.128,2.298
"5137",1971-01-24,0.75,"01",3.343,2.946,2.617,2.458,3.631,2.72,2.994,4.209,2.428,2.598
"5138",1971-01-25,2.15,"01",4.743,4.346,4.017,3.858,5.031,4.12,4.394,5.609,3.828,3.998
"5139",1971-01-26,2.85,"01",5.443,5.046,4.717,4.558,5.731,4.82,5.094,6.309,4.528,4.698
"5140",1971-01-27,0.25,"01",2.843,2.446,2.117,1.958,3.131,2.22,2.494,3.709,1.928,2.098
"5141",1971-01-28,-0.65,"01",1.943,1.546,1.217,1.058,2.231,1.32,1.594,2.809,1.028,1.198
"5142",1971-01-29,-2.15,"01",0.443,0.0460000000000003,-0.283,-0.442,0.731,-0.18,0.0940000000000003,1.309,-0.472,-0.302
"5143",1971-01-30,-4.65,"01",-2.057,-2.454,-2.783,-2.942,-1.769,-2.68,-2.406,-1.191,-2.972,-2.802
"5144",1971-01-31,-5.45,"01",-2.857,-3.254,-3.583,-3.742,-2.569,-3.48,-3.206,-1.991,-3.772,-3.602
"5145",1971-02-01,-6.45,"02",-4.239,-4.08,-3.427,-4.705,-4.583,-3.88,-4.631,-3.921,-3.893,-4.56
"5146",1971-02-02,-8.05,"02",-5.839,-5.68,-5.027,-6.305,-6.183,-5.48,-6.231,-5.521,-5.493,-6.16
"5147",1971-02-03,-2.15,"02",0.0609999999999999,0.22,0.873,-0.405,-0.283,0.42,-0.331,0.379,0.407,-0.26
"5148",1971-02-04,2.85,"02",5.061,5.22,5.873,4.595,4.717,5.42,4.669,5.379,5.407,4.74
"5149",1971-02-05,4.05,"02",6.261,6.42,7.073,5.795,5.917,6.62,5.869,6.579,6.607,5.94
"5150",1971-02-06,3.85,"02",6.061,6.22,6.873,5.595,5.717,6.42,5.669,6.379,6.407,5.74
"5151",1971-02-07,3.95,"02",6.161,6.32,6.973,5.695,5.817,6.52,5.769,6.479,6.507,5.84
"5152",1971-02-08,4.05,"02",6.261,6.42,7.073,5.795,5.917,6.62,5.869,6.579,6.607,5.94
"5153",1971-02-09,4.55,"02",6.761,6.92,7.573,6.295,6.417,7.12,6.369,7.079,7.107,6.44
"5154",1971-02-10,1.95,"02",4.161,4.32,4.973,3.695,3.817,4.52,3.769,4.479,4.507,3.84
"5155",1971-02-11,0.85,"02",3.061,3.22,3.873,2.595,2.717,3.42,2.669,3.379,3.407,2.74
"5156",1971-02-12,2.15,"02",4.361,4.52,5.173,3.895,4.017,4.72,3.969,4.679,4.707,4.04
"5157",1971-02-13,3.55,"02",5.761,5.92,6.573,5.295,5.417,6.12,5.369,6.079,6.107,5.44
"5158",1971-02-14,2.35,"02",4.561,4.72,5.373,4.095,4.217,4.92,4.169,4.879,4.907,4.24
"5159",1971-02-15,0.05,"02",2.261,2.42,3.073,1.795,1.917,2.62,1.869,2.579,2.607,1.94
"5160",1971-02-16,1.05,"02",3.261,3.42,4.073,2.795,2.917,3.62,2.869,3.579,3.607,2.94
"5161",1971-02-17,0.75,"02",2.961,3.12,3.773,2.495,2.617,3.32,2.569,3.279,3.307,2.64
"5162",1971-02-18,0.15,"02",2.361,2.52,3.173,1.895,2.017,2.72,1.969,2.679,2.707,2.04
"5163",1971-02-19,0.25,"02",2.461,2.62,3.273,1.995,2.117,2.82,2.069,2.779,2.807,2.14
"5164",1971-02-20,-2.85,"02",-0.639,-0.48,0.173,-1.105,-0.983,-0.28,-1.031,-0.321,-0.293,-0.96
"5165",1971-02-21,-3.35,"02",-1.139,-0.98,-0.327,-1.605,-1.483,-0.78,-1.531,-0.821,-0.793,-1.46
"5166",1971-02-22,-0.25,"02",1.961,2.12,2.773,1.495,1.617,2.32,1.569,2.279,2.307,1.64
"5167",1971-02-23,-1.65,"02",0.561,0.72,1.373,0.0950000000000002,0.217,0.92,0.169,0.879,0.907,0.24
"5168",1971-02-24,-0.65,"02",1.561,1.72,2.373,1.095,1.217,1.92,1.169,1.879,1.907,1.24
"5169",1971-02-25,2.95,"02",5.161,5.32,5.973,4.695,4.817,5.52,4.769,5.479,5.507,4.84
"5170",1971-02-26,-2.85,"02",-0.639,-0.48,0.173,-1.105,-0.983,-0.28,-1.031,-0.321,-0.293,-0.96
"5171",1971-02-27,-7.25,"02",-5.039,-4.88,-4.227,-5.505,-5.383,-4.68,-5.431,-4.721,-4.693,-5.36
"5172",1971-02-28,-8.25,"02",-6.039,-5.88,-5.227,-6.505,-6.383,-5.68,-6.431,-5.721,-5.693,-6.36
"5173",1971-03-01,-7.15,"03",-4.43,-4.663,-4.767,-4.93,-4.714,-4.558,-4.176,-5.259,-5.858,-5.5
"5174",1971-03-02,-9.25,"03",-6.53,-6.763,-6.867,-7.03,-6.814,-6.658,-6.276,-7.359,-7.958,-7.6
"5175",1971-03-03,-9.15,"03",-6.43,-6.663,-6.767,-6.93,-6.714,-6.558,-6.176,-7.259,-7.858,-7.5
"5176",1971-03-04,-11.25,"03",-8.53,-8.763,-8.867,-9.03,-8.814,-8.658,-8.276,-9.359,-9.958,-9.6
"5177",1971-03-05,-12.65,"03",-9.93,-10.163,-10.267,-10.43,-10.214,-10.058,-9.676,-10.759,-11.358,-11
"5178",1971-03-06,-9.55,"03",-6.83,-7.063,-7.167,-7.33,-7.114,-6.958,-6.576,-7.659,-8.258,-7.9
"5179",1971-03-07,-4.45,"03",-1.73,-1.963,-2.067,-2.23,-2.014,-1.858,-1.476,-2.559,-3.158,-2.8
"5180",1971-03-08,1.55,"03",4.27,4.037,3.933,3.77,3.986,4.142,4.524,3.441,2.842,3.2
"5181",1971-03-09,3.85,"03",6.57,6.337,6.233,6.07,6.286,6.442,6.824,5.741,5.142,5.5
"5182",1971-03-10,-1.25,"03",1.47,1.237,1.133,0.97,1.186,1.342,1.724,0.641,0.042,0.4
"5183",1971-03-11,-4.75,"03",-2.03,-2.263,-2.367,-2.53,-2.314,-2.158,-1.776,-2.859,-3.458,-3.1
"5184",1971-03-12,-5.05,"03",-2.33,-2.563,-2.667,-2.83,-2.614,-2.458,-2.076,-3.159,-3.758,-3.4
"5185",1971-03-13,-2.25,"03",0.47,0.237,0.133,-0.0299999999999998,0.186,0.342,0.724,-0.359,-0.958,-0.6
"5186",1971-03-14,2.05,"03",4.77,4.537,4.433,4.27,4.486,4.642,5.024,3.941,3.342,3.7
"5187",1971-03-15,1.05,"03",3.77,3.537,3.433,3.27,3.486,3.642,4.024,2.941,2.342,2.7
"5188",1971-03-16,1.05,"03",3.77,3.537,3.433,3.27,3.486,3.642,4.024,2.941,2.342,2.7
"5189",1971-03-17,1.35,"03",4.07,3.837,3.733,3.57,3.786,3.942,4.324,3.241,2.642,3
"5190",1971-03-18,0.75,"03",3.47,3.237,3.133,2.97,3.186,3.342,3.724,2.641,2.042,2.4
"5191",1971-03-19,0.25,"03",2.97,2.737,2.633,2.47,2.686,2.842,3.224,2.141,1.542,1.9
"5192",1971-03-20,0.15,"03",2.87,2.637,2.533,2.37,2.586,2.742,3.124,2.041,1.442,1.8
"5193",1971-03-21,1.15,"03",3.87,3.637,3.533,3.37,3.586,3.742,4.124,3.041,2.442,2.8
"5194",1971-03-22,-0.25,"03",2.47,2.237,2.133,1.97,2.186,2.342,2.724,1.641,1.042,1.4
"5195",1971-03-23,-1.75,"03",0.97,0.737,0.633,0.47,0.686,0.842,1.224,0.141,-0.458,-0.1
