"","Date","Obs","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5114",1971-01-01,-9.05,"01",-4.936,-5.122,-4.946,-5.219,-5.772,-5.334,-4.849,-4.989,-5.555,-5.422
"5115",1971-01-02,-9.55,"01",-5.436,-5.622,-5.446,-5.719,-6.272,-5.834,-5.349,-5.489,-6.055,-5.922
"5116",1971-01-03,-8.65,"01",-4.536,-4.722,-4.546,-4.819,-5.372,-4.934,-4.449,-4.589,-5.155,-5.022
"5117",1971-01-04,-2.95,"01",1.164,0.978,1.154,0.881,0.328,0.766,1.251,1.111,0.545,0.678
"5118",1971-01-05,-0.15,"01",3.964,3.778,3.954,3.681,3.128,3.566,4.051,3.911,3.345,3.478
"5119",1971-01-06,-7.25,"01",-3.136,-3.322,-3.146,-3.419,-3.972,-3.534,-3.049,-3.189,-3.755,-3.622
"5120",1971-01-07,-7.65,"01",-3.536,-3.722,-3.546,-3.819,-4.372,-3.934,-3.449,-3.589,-4.155,-4.022
"5121",1971-01-08,0.95,"01",5.064,4.878,5.054,4.781,4.228,4.666,5.151,5.011,4.445,4.578
"5122",1971-01-09,4.35,"01",8.464,8.278,8.454,8.181,7.628,8.066,8.551,8.411,7.845,7.978
"5123",1971-01-10,4.55,"01",8.664,8.478,8.654,8.381,7.828,8.266,8.751,8.611,8.045,8.178
"5124",1971-01-11,3.25,"01",7.364,7.178,7.354,7.081,6.528,6.966,7.451,7.311,6.745,6.878
"5125",1971-01-12,1.45,"01",5.564,5.378,5.554,5.281,4.728,5.166,5.651,5.511,4.945,5.078
"5126",1971-01-13,0.15,"01",4.264,4.078,4.254,3.981,3.428,3.866,4.351,4.211,3.645,3.778
"5127",1971-01-14,-1.85,"01",2.264,2.078,2.254,1.981,1.428,1.866,2.351,2.211,1.645,1.778
"5128",1971-01-15,-2.95,"01",1.164,0.978,1.154,0.881,0.328,0.766,1.251,1.111,0.545,0.678
