"Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"Jan",0.167671235321816,0.154104540241133,0.193711447070525,0.15909930234246,0.0434817074495022,0.154964884530578,0.168554697599838,0.121013106319876,0.136684335076635,0.132828075498733
"Feb",0.222474898910802,0.242573585803566,0.201977548972177,0.155298933396518,0.133801460460541,0.208794001144244,0.187644256520835,0.212363143444281,0.145048513547233,0.164328075824251
"Mar",0.452840542004,0.501512664564571,0.510532998868196,0.384430645205019,0.505669308622532,0.610996618903852,0.514560973444656,0.482552408716364,0.47763011830535,0.627424165428244
"Apr",1.35259020761149,1.75697479114277,1.34339883831923,1.35285579666437,1.47414122510335,1.76303401090351,1.42765293149369,1.64395790842423,1.18045470262539,1.52754447259844
"May",2.62970989914938,3.44817527569327,2.55994744479299,2.65125160554631,2.82377767719748,3.06347272909306,2.76682202924096,3.37214422444691,2.52093101265703,2.782246611716
"Jun",3.86673032140585,4.22222931528697,3.9058968998091,3.94339692459498,4.07690893263304,4.06952588523554,4.27689890907293,4.38611587125634,3.69670345539406,3.83079597167613
"Jul",4.25847445116886,4.36928281771955,4.45902137223366,4.35091291632266,4.36594311916543,4.56149221667306,4.62787839714837,4.56496607396859,4.29032002559811,4.37520456586628
"Aug",3.55914851062814,3.6178479915251,3.61736349566074,3.66061796860916,3.66851694559131,3.61183681343022,3.85055650859174,3.86434619501273,3.58153000665463,3.64774671150618
"Sep",2.28869841952486,2.20072643391364,2.36921717942719,2.38514269045189,2.38616513313973,2.28585624302224,2.60443670712858,2.39561451386888,2.26629671974761,2.16020089989077
"Oct",1.20927610413764,1.08276771435561,1.27520250289841,1.24365178017235,1.27678984634636,1.21607568778288,1.35999489416147,1.09935822258952,1.25809377848277,1.16012300504527
"Nov",0.535030407897772,0.433796692861128,0.592922698028852,0.539749872438095,0.519008238504493,0.535741112126573,0.59544698979937,0.452415870883207,0.580068252215403,0.538439752650164
"Dec",0.21432640639896,0.151931810063983,0.284457979024586,0.272739322357453,0.193901022819733,0.232129457476382,0.27885578697058,0.203850839939047,0.244781470148916,0.240726270699847
