"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",0.301051672680669,0.336981963394677,0.108298157363627,-0.243149953597247,0.190868303964676,0.422043730005027,0.59616960659756,1.26267259293764,-0.401539465482313,-0.226831688100914
"2","Feb",0.0195285222869198,0.196112732066006,0.113316495761611,-0.0648665817347331,0.258514257800883,0.258097608398786,-0.100117426179023,0.517832387326246,-0.13985870160158,-0.109504437297812
"3","Mar",1.85538875154661,1.88871394435911,1.91783250818598,1.18358051250294,2.04312136746555,2.05771472462541,2.22796263702785,1.66886976353817,1.29207826866137,1.49622300113008
"4","Apr",5.71379620360071,5.91884874338624,5.78803753141351,5.61391928341385,6.41619422403494,7.13829501873626,6.78818571551428,6.42622893014151,4.85492724867725,5.70919233865973
"5","May",10.0731136598988,13.1096055640894,10.7481105463528,10.7917429471615,11.6975659815309,12.7522056881994,12.2989119038393,13.3479126295557,9.78628066209141,10.8651752231717
"6","Jun",14.3966682912117,16.5731441358025,15.0181630598622,14.2230422043011,15.4169200081955,15.827349743057,15.4982073823824,17.2125080752075,14.0953043618792,14.6796036916787
"7","Jul",16.9847362699082,17.2162059011777,16.9201510794365,16.4284342409527,16.9377409717915,17.4849802589388,17.6655812909684,18.3668627406828,15.7996954457989,15.9401892659312
"8","Aug",15.0507178357626,15.2413260368664,15.8140378844711,15.7778598103827,15.4035846953604,15.9624424824825,17.089588992218,16.9865557177805,14.6052272733842,14.8197425057022
"9","Sep",11.5425150650124,11.3634121031746,12.4718891557694,11.8090972222222,11.694357521217,12.1503568740534,13.1650647647648,12.5811760602594,11.2891526156341,10.9968952741703
"10","Oct",7.6727112961036,7.50205773169483,8.27294624595686,7.86128962131837,8.16477306973898,8.41131121338223,8.51435618418279,8.47437903225807,7.76654873911931,7.66656113568526
"11","Nov",4.05063447871804,3.72001547619048,4.83057932446988,4.1279869195083,4.53808583184487,4.3844953522392,5.18006511867905,3.64097385679904,3.27675577984817,3.44797822431248
"12","Dec",1.17116199852739,1.03197896398703,1.49378211833646,1.33313738648684,1.47992166257045,1.13907849155486,2.63893106957409,1.77430446469612,0.171941912108462,0.607817990372937
