"","Date","Observed","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",-2.16505376344086,-2.29206109216971,-1.85944304011927,-1.75918614800771,-1.95084600775246,-2.68964079436159,-1.5478922560207,-1.64800171854398,-2.19638354411009,-2.07973955898395,-2.07505080858616
"2","Feb",-2.38449917898194,-2.19192560816549,-2.173582721259,-2.90927938754742,-1.81007684453471,-1.60848235098306,-2.312399868086,-1.91899716752203,-2.01088786283245,-2.69713595583161,-1.99927449110433
"3","Mar",-0.333763440860215,-0.864670773144861,-0.59822078401253,-0.465471194127071,-1.03663183290412,-0.392516388844964,-0.534216412927573,-0.746325634464395,-0.22164380131557,-0.000324918186068297,-0.153461015965209
"4","Apr",3.27611111111111,3.06697908599998,3.34199955908289,3.42502853037767,3.38365049134977,2.8699384930005,3.01903127304794,2.84505783366348,3.27173796296296,3.4912080026455,3.08532629528282
"5","May",8.81817204301075,8.22696423943769,7.58809843830005,8.62365397862324,8.40893996415771,8.69882003315398,7.7476529932605,8.09358119999556,7.59249820788531,8.45595621810119,8.17950629337937
"6","Jun",12.5996666666667,13.0583751496067,12.325803196649,12.7073809446905,12.4340551373955,12.3242693930205,12.595668313666,12.9897472222222,12.0141557603954,12.7208639966291,12.8156369288119
"7","Jul",14.654623655914,14.8931543941109,14.9433131933777,14.5878459719096,14.763538935137,14.7009726647689,15.0087628783433,14.283222206077,15.0497259991111,14.6973514248138,14.6507569124424
"8","Aug",13.5401075268817,13.4353583444475,13.9016986047107,13.2127834190691,13.3736620707596,13.4480692212489,13.3846499228455,13.4786443701766,13.9676455310657,13.1447543398907,13.5025896406461
"9","Sep",9.57944444444444,10.0535870968138,9.90218999118166,9.85348327378438,9.85065092592593,9.84522755067359,9.7834007328375,9.90581257968495,9.5253470681724,10.0908840939154,9.63090309042809
"10","Oct",5.72827956989247,5.87881948680533,5.7804742703533,5.55101596357562,5.71214307548459,6.08046541158834,5.51005194984196,5.25906415826093,5.72187903225807,5.56024881592422,5.78225873880678
"11","Nov",1.82188888888889,2.04377671820832,1.85184578535118,1.91326320397149,2.03623020684656,1.21672570439442,2.02707421458743,2.79201097701175,1.76862849028562,1.78672222222222,1.5577311645994
"12","Dec",-0.85,-1.03991325087396,-0.797217433209843,-0.496520407113257,-0.927956221842078,-0.324605269290488,-0.498867987540916,-1.00404172544319,-0.247211911833006,-0.934593267882188,-0.677552557794698
