"","Month","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",1.243,1.18,0.754,2.055,1.575,0.784,2.03,2.139,0.22,0.392
"2","Feb",1.446,1.953,2.938,1.303,-0.05,2.37,2.767,1.921,0.985,0.562
"3","Mar",2.269,1.962,1.41,2.101,0.959,1.678,3.269,1.704,0.401,0.513
"4","Apr",2.094,1.33,1.468,1.883,2.406,2.415,4.123,0.766,0.623,1.237
"5","May",1.703,3.37,1.398,1.692,1.983,3.516,3.786,2.667,0.938,1.993
"6","Jun",0.558,3.842,1.665,1.582,2.529,2.235,2.142,4.276,0.701,1.351
"7","Jul",0.899,1.578,2.264,1.307,1.391,1.93,2.35,2.441,0.81,1.198
"8","Aug",1.485,1.569,2.104,1.465,1.065,1.87,2.489,2.148,0.79,0.829
"9","Sep",1.247,1.401,1.899,1.513,1.321,1.881,2.592,2.317,0.732,0.798
"10","Oct",1.609,1.557,1.747,1.32,1.13,1.666,2.665,2.088,1.249,0.851
"11","Nov",2.05,1.966,1.919,1.867,2.484,1.399,0.699,1.789,1.96,1.578
"12","Dec",1.82,1.455,1.997,2.954,0.837,1.696,2.21,1.426,1.406,1.194
