"","fut","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"53",2041-02-22,0,0,5.425,0,2.45,6.5,32.0132075471698,0,3.6,0.1
"54",2041-02-23,0,0.5,0,4.5,0,0,0.3,0,1.26666666666667,0
"55",2041-02-24,0,0.0666666666666667,0,1.7,10.3,0,0.1,0,1.4,0
"56",2041-02-25,0,0.5,0,0,0.2,0,13.9,0,0.2,0
"57",2041-02-26,3.6,4,0,0,21.2882352941177,0.95,0,0,18.34375,0
"58",2041-02-27,11.3333333333333,7.2,0,0,10,4.9,0,1.5,7,0.95
"59",2041-02-28,11.7222222222222,11,0,0,17.6,0.7,0,15.6076923076923,14.4,7.66
"60",2041-03-01,7.55714285714286,8.3,13.2,0,0.2,12.91,2.5,5.43898305084745,10,12.6888888888889
"61",2041-03-02,12.55,12.5,34.0792976939203,0,0,41.572131147541,14.74,18.025,0,4.1
"62",2041-03-03,2.9,0.7,2.9,0,0,3.2,0,0.9,0,1.2
"63",2041-03-04,3.5,6.43999999999995,0,1.1,0,0.116666666666606,1.2,1.7,1.6,9
"64",2041-03-05,47.0728061224489,42.905324074074,0.4,4.8,0,3.72173913043479,10.7,4.7,4.025,0.55
"65",2041-03-06,1.63333333333333,3.35,31.0681181959565,0,1,11.4888888888889,31.2735849056604,15.1846153846154,18.76875,22.2833333333333
"66",2041-03-07,0,0.9,0,0,0,2.01428571428574,3.1,34.3231481481481,12.8,9.6125
"67",2041-03-08,2.16666666666667,0,0,0,4.4,0.6,28.3989795918367,14.38,19.5947368421053,16.8125
"68",2041-03-09,0.3,1.2,0,2.1,6.2,0.116666666666606,1.1,0.166666666666606,8.7,19.93
"69",2041-03-10,6.6,4.5,3.95,4.6,0,16.6666666666667,0.1,0,0.3,5.06666666666667
"70",2041-03-11,0,2.4,7.1,20.0411764705882,0,19.1111111111111,0,0.6,0,2.4
"71",2041-03-12,0,4.7,3.2,3.6,0,5.2,0,15.2692307692308,0.166666666666606,0.55
"72",2041-03-13,20.7,13.6555555555556,1.4,3.4,0,0.1,0,0.95,0,4.1
"73",2041-03-14,7.98333333333333,22.3190476190476,0,11.7927835051547,0,0,0,0,6.38333333333333,12.0222222222222
"74",2041-03-15,10.6428571428571,57.1837136243386,0,8.57142857142857,0,0,2,0,6,15.1
"75",2041-03-16,24.1285714285714,4.4,0,21.4368421052632,0,0,0.2,1,8.9,7.78
"76",2041-03-17,0.3,0.5,0,42.6451086956521,0,0,48.1452627939141,5.8,11.6929411764707,43.0894764957264
"77",2041-03-18,0,3.1,1.25,2.6,6.8,0.65,1.8,14.86,1.2,0
"78",2041-03-19,6,11.9,0.6,1,10.075,0.4,14.26,0,0,0
"79",2041-03-20,2.6,43.931316137566,0.75,0.3,1.7,0,8.31666666666667,1.2,0,0
"80",2041-03-21,46.6330952380951,0.9,14.0090909090909,5.5,1.6,13.46,0.2,1.8,0,0
"81",2041-03-22,0,9.1,0.3,0,0,0.8,3.3,0,0,0.1
"82",2041-03-23,15.4142857142857,11.4,0.4,0,0,5.9,9.3,0,2.5,16.09
"83",2041-03-24,2.6,3.1,32.4398133748056,0,0,28.2461538461538,19.2,0,1.96666666666667,0
"84",2041-03-25,8.31666666666667,8.8,12.6181818181818,0,0,36.6688524590164,0,0,0.5,0
"85",2041-03-26,4.2,23.0409090909091,25.4134770889488,0,0,21,0.7,6.55999999999996,0,0
"86",2041-03-27,0,0.9,0,0,0,5.3,0,14.26,0,0
"87",2041-03-28,0,5.7,0,15,0,0,0,3.1,0,0
"88",2041-03-29,0.5,12.1,0,1.25,0,0,0.1,0,0,3.7
"89",2041-03-30,1.7,9.1,0,0,0.8,0,0.1,0,0,0
"90",2041-03-31,1.31538461538487,0.95,0,0,2.75,0,0.1,0.95,0,0
"91",2041-04-01,0,2,0,0,3.3,0,0,3.4,0,3.7
"92",2041-04-02,0,0,0,0,0,0,14.62,1.5,0.0666666666666667,0.2
"93",2041-04-03,0.3,1.9,0,0,0,0,10.075,3.8,0,0
"94",2041-04-04,0,0.8,0,0,4.7,0,16.5230769230769,9,0,0
"95",2041-04-05,1.5,0,0,0,10.6428571428571,0,9.925,14.98,0,0
"96",2041-04-06,13.3,0,4.025,3.3,3.91538461538472,2.01428571428574,2.1,0,1.3,0
"97",2041-04-07,5.7,0,0.25,10.1,0,1.77500000000002,14.5,4.2,1.7,13.075
"98",2041-04-08,5.7,0,12.3454545454545,11.4463917525774,0,15.2149253731343,0,1.4,1.26666666666667,0.1
"99",2041-04-09,1.8,0.0666666666666667,9.4,17.1,0,8.9,0,0,0,0.1
"100",2041-04-10,6.2,7,2.3,3.1,0,1.6,0,0,0,4.6
"101",2041-04-11,0,2.5,0,5.06666666666667,1.2,14.8350649350649,7.175,0,0,3.6
"102",2041-04-12,3.3,0.0666666666666667,8.23333333333333,0,0,17.04,1.4,0,19.0875,3.275
"103",2041-04-13,0.116666666666606,0.5,16.9538461538462,0,0,0,15.3357142857143,0,1.8,0.1
"104",2041-04-14,2.45,2.5,3.5,0,0,0,0.3,8.7,7.6,15.21
"105",2041-04-15,0,0.75,0.25,5.5,0,5,20.5352941176471,10.9,16.55,6.88333333333333
"106",2041-04-16,0,2.9,15.7416666666667,0,0.5,8.9,6.925,0,0.2,3.7
"107",2041-04-17,0,0,4.93333333333333,0,1.8,18.8277777777778,0,10.225,0,0
"108",2041-04-18,0,8.4,2.9,6.1,0,2.3,0,5.31694915254235,0.0666666666666667,0.1
"109",2041-04-19,0,0,0.75,0,5.06666666666667,1,0,0,0,0.1
"110",2041-04-20,0,0,2.75,0,5.425,1.4,0,4,0,0
"111",2041-04-21,0,0,0.95,0.1,0,0,0,3,6.63333333333333,0.166666666666606
"112",2041-04-22,0,0,0,0,0,0.116666666666606,17.3846153846154,3.6,0.4,0
"113",2041-04-23,1.8,0.9,1.25,0,0,1.77500000000002,0.9,0.9,0,0
"114",2041-04-24,0.7,0.6,8.6,0,4.1,31.1384615384615,9.2,10.15,0,2.1
"115",2041-04-25,15.4897142857143,2.23333333333333,3.3,0,20.8848739495799,34.0286254728878,0.4,13.24,0,4
"116",2041-04-26,0,0.95,0.6,0,0,2.1,0,11.4,0,9.7
"117",2041-04-27,11.1777777777778,18.0662857142857,9.1,0,0,0.7,0,0,4.53333333333333,4.93333333333333
"118",2041-04-28,0,0.2,9.6,0,0,0.6,0.2,0,19.19375,29.2678513731826
"119",2041-04-29,0,0,21.7,0,0,2.1,0,0.4,0,0
"120",2041-04-30,0,0,35.8559224318658,0,9,47.2209027907848,0,0,0,7.78
"121",2041-05-01,0,0,0,0,2,0.1,0,11.9153846153846,0.2,0.1
"122",2041-05-02,0,0,0,0,5.9,20.9,0.3,0,2.4,0
"123",2041-05-03,0.95,0.3,0,0,0.8,0,8.15,1.7,2.75,10.8714285714286
"124",2041-05-04,20.2625,0.166666666666606,0,0,0,0,6.38333333333333,9.85,0,0
"125",2041-05-05,7.3,5.6,0,0,0,0,13.57,2.16666666666667,0,0.8
"126",2041-05-06,4.5,0.3,0,2.2,0,0,0,2.1,0.5,7.66
"127",2041-05-07,5.8,0.95,0.2,10.1,0,0,0,0,3.6,9.7
"128",2041-05-08,2.9,2.6,37.7370545073375,9.8,0,0.3,0.1,2.6,45.1945538152033,22.7961538461538
"129",2041-05-09,1.7,17.2769230769231,0.95,0,3.82307692307708,0,0,1.5,14.6,9.35
"130",2041-05-10,0,0,0.95,8.23333333333333,17.1692307692308,4.325,0,1.7,0,0
"131",2041-05-11,0.2,0,0.25,17.1,5.425,0.65,0,0.9,0,0
"132",2041-05-12,6.5,4.6,3.125,0.9,0.55,0.65,20.9,0,10.9857142857143,0
"133",2041-05-13,9.35,0,4.025,1,5.35,6.3,11.3964705882353,0,71.8706423336686,0
"134",2041-05-14,0,0,0,7.54,0,3.47692307692315,6.8,1.4,7.4,0.1
"135",2041-05-15,0.116666666666606,0,0,1.3,15.2692307692308,2.3,3.1,10.4,46.2348469607702,0
"136",2041-05-16,0,0,0,0,0.166666666666606,1,4.93333333333333,0,24.9916666666667,15.54
"137",2041-05-17,0,0,0,6.96666666666667,8.8,0,0.1,0.4,4.325,7.54
"138",2041-05-18,0,0,0,24.8268656716419,2.3,0.3,1.8,0,7.3,3.275
"139",2041-05-19,0,0,0,7.42,0.8,0.9,0,0,0.7,3.1
"140",2041-05-20,0,0,0.75,10.5,6.8,0.3,0,0.3,0,0
"141",2041-05-21,8.82857142857143,0,0,4.8,3.82307692307708,2.45,0,0.6,0.166666666666606,6.55
"142",2041-05-22,11.4888888888889,0.1,0,25.4966292134833,1.4,0.25,2.6,1.2,0,1.76666666666667
"143",2041-05-23,4,0,0,0,0,0,0,0,0,4
"144",2041-05-24,5.8,0,0,20.9105263157895,0,0,0.166666666666606,0.3,0.166666666666606,0
"145",2041-05-25,1.7,0,0,8.23333333333333,0,0,0.1,0,3.875,6.425
"146",2041-05-26,46.2813265306121,0,0,0,0,0,6.55,2.75,18.2375,12.3555555555556
"147",2041-05-27,45.6657312925169,0,0,0,0,0,16.5230769230769,0,5.74,0.7
"148",2041-05-28,7.55714285714286,0.0666666666666667,0.1,0,0.2,2.1,0.7,0,7.8,0.55
"149",2041-05-29,0,0,0,0,2.1,0.5,0.1,0,0,0.3
"150",2041-05-30,2.8,0.5,0,1,0,0,0,0,0,0
"151",2041-05-31,14.9140845070422,0.3,2.6,3.6,0,10.0469879518073,0,0,0,0
"152",2041-06-01,11.925,0.6,3.125,0,0,3.8,0,0,0,0
"153",2041-06-02,4.93333333333333,0.1,0.3,0,0,0,0.95,0.1,4.53333333333333,0.95
"154",2041-06-03,0.0666666666666667,0,1.25,0,0,0,0,6.31999999999993,0,0
"155",2041-06-04,0,8.1,2.2,1.7,0,0,0,0.6,0,35.8673232323232
