Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-03-08,0.0,0.0,0.0,0.0,0.7,0.0,7.6,0.1,1.1,3.8
1971-03-09,0.8,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2
1971-03-10,3.4,5.3,0.0,0.0,0.0,0.0,0.1,0.0,23.3,20.3
1971-03-11,8.2,14.0,0.0,0.0,0.0,0.0,0.0,0.4,5.9,9.9
1971-03-12,46.2,39.8,0.0,0.0,7.3,0.0,0.0,0.1,3.7,0.0
1971-03-13,9.0,3.8,0.0,0.0,0.0,0.1,1.0,2.8,0.0,0.0
1971-03-14,10.6,2.9,1.8,0.2,0.6,3.5,12.4,8.9,0.1,0.0
1971-03-15,1.7,6.1,0.5,7.1,0.7,1.4,6.4,0.2,0.1,0.0
1971-03-16,0.8,0.0,0.9,0.1,0.0,0.7,0.0,0.0,0.9,0.1
1971-03-17,3.5,0.0,0.1,0.0,0.0,0.5,2.4,0.0,0.5,0.3
1971-03-18,4.9,5.3,1.4,1.4,0.0,0.3,4.7,0.1,0.4,6.4
1971-03-19,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.4,0.0
1971-03-20,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0
1971-03-21,0.5,0.1,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0
1971-03-22,4.6,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0
1971-03-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4
1971-03-24,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,7.9,3.4
1971-03-25,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.0,9.1,15.0
1971-03-26,3.2,0.1,0.1,0.0,0.0,0.1,0.0,2.4,10.4,8.5
1971-03-27,25.8,0.1,0.0,0.0,0.1,0.3,0.1,0.1,14.1,14.8
1971-03-28,9.9,0.0,0.0,0.0,0.2,0.1,0.0,0.1,6.8,5.0
1971-03-29,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.2,7.9
1971-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.7,0.3
1971-03-31,0.3,0.3,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0
1971-04-01,5.8,2.6,2.1,0.0,6.2,2.7,0.0,0.0,0.1,0.0
1971-04-02,25.7,9.0,0.9,0.0,14.3,0.5,0.2,0.0,0.0,0.0
1971-04-03,8.8,4.2,0.6,0.0,22.2,5.6,0.1,6.1,0.0,0.0
1971-04-04,26.1,38.9,1.5,1.9,0.0,2.3,0.1,0.9,1.2,2.0
1971-04-05,0.8,0.6,0.1,0.0,0.0,0.2,0.1,1.6,7.3,9.0
1971-04-06,0.0,0.1,0.0,1.6,0.0,0.0,0.0,0.1,1.9,0.7
1971-04-07,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.0,25.0,15.9
1971-04-08,0.0,0.0,0.0,0.0,0.0,0.3,2.9,0.1,5.5,0.8
1971-04-09,0.0,0.0,0.0,1.1,0.6,0.1,8.7,7.0,4.9,0.5
1971-04-10,0.0,0.1,0.0,0.2,5.5,0.0,4.5,0.1,1.2,5.9
1971-04-11,0.0,0.1,2.8,0.0,4.2,4.2,2.3,0.9,18.4,24.1
1971-04-12,0.0,0.1,7.1,0.0,1.9,7.9,0.0,0.1,6.9,4.3
1971-04-13,0.0,0.8,0.0,0.0,14.3,20.6,0.4,16.9,1.9,0.1
1971-04-14,0.0,4.7,0.0,1.4,24.3,2.4,0.1,0.0,0.4,0.1
1971-04-15,3.2,4.6,0.0,0.0,2.4,0.7,2.1,0.0,3.9,0.4
1971-04-16,0.1,0.3,0.0,1.0,16.6,0.1,29.7,0.0,0.1,1.2
1971-04-17,0.0,0.0,0.0,0.5,0.1,0.4,1.1,0.0,0.0,0.0
1971-04-18,0.0,0.1,0.0,1.1,0.5,0.0,0.0,0.0,0.3,0.0
1971-04-19,8.9,5.7,0.0,0.2,4.1,0.0,0.0,0.0,8.8,0.3
1971-04-20,10.2,2.5,0.0,0.3,8.3,0.4,0.0,0.0,1.0,0.0
1971-04-21,0.5,0.6,0.1,0.0,8.9,0.1,0.0,0.0,0.4,0.2
1971-04-22,0.0,1.5,0.0,2.1,0.2,0.0,0.0,0.0,0.0,0.0
1971-04-23,0.1,14.6,0.0,7.1,2.3,0.0,0.3,0.0,0.0,0.1
