Date	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2041-09-02	0.095	0.087	0	0	0.579	6.142	0	7.447	0	0	0.002
2041-09-03	0.159	0.089	0.002	0	1.33	4.423	0	14.181	0	0	0.006
2041-09-04	0.149	0.273	0.003	0	1.981	3.895	0	10.375	0	0	0.02
2041-09-05	0.138	0.419	0.008	0	2.07	3.445	0	6.968	0	0	0.031
2041-09-06	0.127	0.318	0.02	0	2.141	3.036	0	4.823	0	0	0.029
2041-09-07	0.117	0.993	0.396	0.272	1.855	2.663	0.016	4.19	0.007	0	0.026
2041-09-08	0.207	1.552	0.67	0.511	1.593	8.766	0.277	3.9	0.013	0	0.028
2041-09-09	0.281	1.319	0.511	1.875	1.353	19.903	1.062	3.631	0.012	0	0.031
2041-09-10	0.617	1.139	0.694	3.024	1.55	17.811	1.469	3.213	0.011	0	0.028
2041-09-11	0.868	1.188	1.472	3.611	1.83	12.913	1.968	2.824	0.01	0	0.025
2041-09-12	0.698	1.196	1.847	4.937	1.681	8.869	2.401	2.469	0.012	0	0.022
2041-09-13	0.538	0.995	1.589	4.995	1.438	6.006	2.091	2.144	0.015	0	0.02
2041-09-14	0.474	0.811	1.545	4.295	1.215	4.785	1.809	1.847	0.013	0.011	0.055
2041-09-15	0.589	0.669	1.503	3.815	1.059	4.26	1.552	1.577	0.012	0.025	0.09
2041-09-16	1.352	0.614	1.278	3.569	1.711	3.821	1.317	1.329	0.017	0.026	0.089
2041-09-17	2.577	0.558	1.07	3.339	2.24	3.419	1.101	1.103	0.395	0.026	0.204
2041-09-18	4.641	0.506	0.878	2.945	2.138	3.059	0.904	0.897	0.669	0.026	0.25
2041-09-19	8.638	0.457	0.712	2.585	2.039	2.766	0.72	0.749	0.511	0.677	0.967
2041-09-20	11.389	0.413	0.653	2.256	1.77	2.454	0.64	0.675	1.069	1.87	1.569
2041-09-21	13.885	0.372	0.594	1.955	1.524	2.135	0.58	0.606	1.558	2.253	1.339
2041-09-22	16.075	0.335	0.54	1.68	1.514	1.843	0.524	0.543	1.324	1.954	1.13
2041-09-23	16.974	2.377	0.744	1.428	1.506	1.576	0.474	0.493	1.111	1.682	0.934
2041-09-24	16.144	10.652	7.808	1.199	2.388	1.333	0.427	0.935	0.917	1.436	0.755
2041-09-25	18.963	14.528	25.401	0.989	3.453	1.111	0.384	1.31	0.74	1.211	0.593
2041-09-26	18.502	11.299	21.516	0.822	3.355	0.918	0.393	1.39	0.593	1.006	0.544
2041-09-27	17.006	8.653	14.035	0.748	2.978	0.834	0.849	1.419	0.546	0.887	0.512
2041-09-28	15.705	5.991	15.538	0.676	2.633	0.754	1.168	1.579	0.498	0.777	0.484
2041-09-29	11.947	4.762	25.114	0.61	2.315	0.769	0.981	1.714	0.453	0.626	0.444
2041-09-30	9.654	4.244	22.43	0.55	2.024	0.745	0.8	1.473	0.438	0.576	0.404
2041-10-01	9.852	3.772	14.63	3.538	2.616	0.738	3.68	1.252	0.497	0.686	0.699
2041-10-02	16.493	3.402	10.197	10.425	3.135	0.716	8.175	1.057	0.498	0.74	1.005
2041-10-03	25.04	3.304	8.84	10.18	2.788	0.666	6.488	0.874	0.464	0.616	0.914
2041-10-04	24.089	3.152	10.539	9.046	2.469	0.626	4.907	0.789	0.423	0.569	0.739
2041-10-05	18.175	2.78	9.841	7.997	3.091	0.581	7.636	0.722	0.386	0.549	0.605
2041-10-06	13.231	2.441	6.77	5.511	3.633	0.531	9.421	0.66	0.353	0.593	1.77
2041-10-07	9.314	2.263	5.271	4.672	3.238	0.483	6.428	0.636	1.076	0.648	2.806
2041-10-08	8.173	3.557	6.87	4.168	2.876	0.439	5.003	0.848	1.663	0.618	2.568
2041-10-09	7.16	4.618	7.728	3.761	2.616	0.399	4.905	3.366	1.423	0.573	2.281
2041-10-10	5.523	4.22	5.651	3.388	2.377	0.369	4.805	10.933	1.732	0.536	2.183
2041-10-11	5.458	3.888	5.012	2.998	2.144	0.343	4.295	12.937	2.115	0.503	2.307
2041-10-12	10.149	3.539	4.555	2.677	2.191	0.313	3.83	9.562	3.988	0.463	2.23
2041-10-13	12.15	3.145	4.136	2.431	2.229	0.283	3.579	17.094	6.294	0.587	2.293
2041-10-14	8.517	3.167	4.065	3.515	2.383	0.256	5.593	20.502	11.837	0.661	2.497
2041-10-15	6.092	3.617	4.088	4.694	2.911	0.231	10.331	15.408	16.958	0.558	2.758
2041-10-16	5.288	4.27	3.747	5.006	3.222	0.208	9.519	17.078	13.955	0.529	3.704
2041-10-17	4.761	4.422	3.341	5.01	3.665	0.203	10.325	29.172	9.66	1.006	4.223
2041-10-18	4.28	3.958	2.969	10.284	4.535	0.235	12.68	28.248	6.969	1.395	3.96
2041-10-19	3.842	16.821	14.402	14.475	4.725	0.245	15.862	30.479	5.89	1.2	3.638
2041-10-20	3.443	44.031	25.774	11.627	5.214	0.223	16.457	26.601	5.205	1.075	3.24
2041-10-21	3.078	43.821	16.758	9.199	5.701	0.21	13.029	15.546	4.664	1.309	3.33
2041-10-22	2.88	28.183	16.861	6.486	5.135	0.684	13.43	10.873	5.107	2.092	4.397
2041-10-23	3.417	22.429	17.656	5.313	4.614	8.446	12.763	7.542	5.533	2.45	4.902
2041-10-24	5.964	18.95	14.496	4.866	4.139	29.51	9.108	5.54	4.919	2.152	4.441
2041-10-25	11.077	17.943	13.195	4.656	9.593	26.313	6.43	4.921	4.408	1.894	4.584
2041-10-26	17.523	16.96	11.763	22.318	14.827	18.253	5.653	4.408	3.943	1.659	4.753
2041-10-27	18.438	11.894	8.235	36.241	10.418	15.296	11.968	3.941	3.519	1.431	4.358
2041-10-28	13.663	8.321	5.948	20.727	7.273	23.378	16.427	3.514	3.132	1.224	4.017
2041-10-29	10.295	5.975	5.218	13.856	5.59	56.898	12.887	3.125	2.782	1.029	3.832
2041-10-30	7.315	5.761	4.713	12.91	5.048	80.404	9.037	3.192	3.107	0.937	3.593
2041-10-31	11.778	6.958	4.254	14.288	11.027	63.438	6.362	3.526	3.986	0.897	3.331
2041-11-01	17.157	6.448	3.82	14.218	15.91	42.524	5.543	4.323	13.365	0.857	3.047
2041-11-02	23.06	5.409	3.427	11.821	11.48	34.812	5.219	4.862	35.674	0.796	2.716
2041-11-03	23.873	4.879	3.07	12.386	8.05	54.446	5.393	5.989	32.39	0.738	2.415
2041-11-04	16.761	4.397	2.747	12.655	11.648	51.58	6.031	9.783	18.788	0.683	2.133
2041-11-05	12.977	3.961	2.454	17.737	39.88	24.616	16.33	9.557	16.468	1.14	2.375
2041-11-06	10.954	3.666	2.189	19.601	70.67	17.343	21.873	6.784	20.751	1.761	2.583
2041-11-07	14.87	4.551	1.95	13.315	72.662	27.165	15.05	5.547	18.708	2.222	2.582
2041-11-08	16.629	6.218	1.733	9.367	49.111	35.77	10.636	5.082	16.583	5.621	5.346
2041-11-09	13.257	6.729	1.721	6.593	24.22	42.589	7.461	4.692	36.626	9.184	8.415
2041-11-10	10.397	5.867	2.042	5.493	15.112	34.878	5.727	4.479	69.458	11.097	7.622
2041-11-11	7.366	5.435	3.019	4.951	10.67	19.67	5.155	4.175	61.565	11.96	6.912
2041-11-12	5.826	4.907	4.624	4.457	7.502	14.376	4.644	3.761	50.185	8.263	5.525
2041-11-13	5.308	4.427	5.209	4.038	5.948	10.364	4.318	3.381	40.842	5.756	4.98
2041-11-14	4.855	3.989	4.709	3.655	5.605	29.785	4.737	3.036	25.313	4.904	4.485
2041-11-15	4.413	3.59	4.471	3.35	5.156	38.323	5.233	2.725	17.498	4.398	4.033
2041-11-16	4.192	3.227	18.769	3.07	4.65	22.213	5.134	2.443	14.993	4.368	3.973
2041-11-17	3.98	3.469	54.53	2.744	4.189	15.991	4.778	2.187	15.17	5.055	4.647
2041-11-18	3.596	13.112	58.369	2.447	3.769	22.465	4.317	1.957	13.146	5.254	4.901
2041-11-19	3.264	40.954	45.309	2.176	3.386	24.1	3.897	7.047	11.724	6.352	4.65
2041-11-20	2.962	41.294	61.025	1.929	3.038	15.269	3.505	20.667	10.217	12.653	6.68
2041-11-21	2.673	28.23	77.862	1.705	3.668	11.323	3.147	19.921	7.192	15.548	9.488
2041-11-22	2.491	18.917	68.275	1.52	4.59	12.406	2.823	13.763	20.8	12.415	8.062
2041-11-23	2.449	14.338	43.344	1.592	4.522	13.171	2.729	9.721	44.069	8.678	6.226
2041-11-24	3.089	11.237	21.585	1.598	15.892	10.263	3	6.862	34.441	6.129	5.417
2041-11-25	5.956	8.41	14.264	1.444	28.632	12.541	3.668	5.66	19.555	5.244	4.898
2041-11-26	10.213	6.345	10.166	1.372	21.676	14.42	5.37	5.125	14.484	4.731	4.427
2041-11-27	16.433	5.665	7.674	2.691	16.697	13.317	14.761	4.867	12.283	4.267	4.001
2041-11-28	21.15	6.288	8.703	8.419	11.828	12.372	30.703	15.962	11.908	3.847	3.614
2041-11-29	35.832	6.841	8.74	26.968	8.359	9.564	50.064	37.886	10.785	3.466	3.263
2041-11-30	34.607	5.785	6.356	31.457	6.157	6.759	44.282	33.801	13.657	3.121	2.991
2041-12-01	35.419	5.235	5.575	18.985	5.469	5.613	22.771	25.928	15.185	2.853	2.743
2041-12-02	31.811	4.734	5.047	12.999	4.954	5.268	14.775	30.779	12.563	3.331	2.475
