Year	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971	0.141714285714286	0.215714285714286	0.217714285714286	0.111142857142857	0.185714285714286	0.279	0.151428571428571	0.143	0.274857142857143	0.149571428571429	0.284857142857143
1972	1.38114285714286	0.0978571428571429	0.109	0.0472857142857143	0.0844285714285714	0.126428571428571	0.0752857142857143	0.0692857142857143	0.124428571428571	0.0731428571428571	0.128428571428571
1973	0.886428571428571	0.124428571428571	0.460714285714286	0.187285714285714	0.248428571428571	0.436714285714286	0.243428571428571	0.291857142857143	0.422428571428571	0.335714285714286	0.386714285714286
1974	0.502	0.0267142857142857	0.0572857142857143	0.0224285714285714	0.0832857142857143	0.017	0.0242857142857143	0.0264285714285714	0.0171428571428571	0.109142857142857	0.120857142857143
1975	0.364857142857143	0.0294285714285714	0.0391428571428571	0.0277142857142857	0.0414285714285714	0.0291428571428571	0.0228571428571429	0.0475714285714286	0.0332857142857143	0.0421428571428571	0.0331428571428571
1976	0.392428571428571	0.00442857142857143	0.0182857142857143	0.00814285714285714	0.00857142857142857	0.0281428571428571	0.00914285714285714	0.0175714285714286	0.0164285714285714	0.012	0.0151428571428571
1977	0.294142857142857	0.0762857142857143	0.157571428571429	0.0961428571428571	0.0931428571428571	0.179428571428571	0.0857142857142857	0.167714285714286	0.136857142857143	0.146857142857143	0.132714285714286
1978	0.329714285714286	0.443857142857143	0.525428571428571	0.342714285714286	0.359285714285714	0.398142857142857	0.342714285714286	0.480571428571429	0.455714285714286	0.667714285714286	0.572142857142857
1979	0.442571428571429	0.241571428571429	0.281285714285714	0.266714285714286	0.277	0.349	0.245714285714286	0.380142857142857	0.325857142857143	0.232428571428571	0.246
1980	0.555714285714286	0.245428571428571	0.388285714285714	0.307428571428571	0.278714285714286	0.211	0.176285714285714	0.124714285714286	0.235571428571429	0.515714285714286	0.488428571428571
1981	0.687142857142857	0.0267142857142857	0.0772857142857143	0.0207142857142857	0.0207142857142857	0.0777142857142857	0.0418571428571429	0.0422857142857143	0.0692857142857143	0.0544285714285714	0.0672857142857143
1982	0.0722857142857143	0.0304285714285714	0.0702857142857143	0.0352857142857143	0.0434285714285714	0.0781428571428571	0.0391428571428571	0.0652857142857143	0.0618571428571429	0.0594285714285714	0.0574285714285714
1983	0.468285714285714	0.00757142857142857	0.0222857142857143	0.00628571428571429	0.00571428571428571	0.0214285714285714	0.0127142857142857	0.0138571428571429	0.0194285714285714	0.0177142857142857	0.018
1984	0.715571428571429	0.0325714285714286	0.0978571428571429	0.028	0.0262857142857143	0.0952857142857143	0.0552857142857143	0.063	0.0838571428571429	0.0787142857142857	0.0781428571428571
1985	0.249571428571429	0.411714285714286	0.675	0.427714285714286	0.562285714285714	0.68	0.382571428571429	0.629857142857143	0.588714285714286	0.626285714285714	0.554857142857143
1986	0.148857142857143	0.033	0.064	0.0392857142857143	0.0494285714285714	0.0675714285714286	0.0362857142857143	0.0691428571428571	0.0548571428571429	0.0568571428571429	0.0531428571428571
1987	0.343857142857143	0.200428571428571	0.321428571428571	0.178571428571429	0.290142857142857	0.222714285714286	0.148571428571429	0.347857142857143	0.249857142857143	0.304285714285714	0.224857142857143
1988	1.04342857142857	0.092	0.102714285714286	0.0841428571428571	0.160142857142857	0.0774285714285714	0.065	0.136571428571429	0.0991428571428571	0.155714285714286	0.128428571428571
