Date	Baseline	corre_cnrmcclm
2071-09-02	0.095	0.548
2071-09-03	0.159	0.98
2071-09-04	0.149	0.794
2071-09-05	0.138	0.625
2071-09-06	0.127	0.474
2071-09-07	0.117	0.365
2071-09-08	0.207	0.336
2071-09-09	0.281	0.305
2071-09-10	0.617	0.275
2071-09-11	0.868	0.247
2071-09-12	0.698	0.222
2071-09-13	0.538	0.199
2071-09-14	0.474	0.178
2071-09-15	0.589	0.159
2071-09-16	1.352	0.141
2071-09-17	2.577	0.126
2071-09-18	4.641	0.112
2071-09-19	8.638	0.099
2071-09-20	11.389	0.088
2071-09-21	13.885	0.078
2071-09-22	16.075	0.068
2071-09-23	16.974	0.06
2071-09-24	16.144	0.053
2071-09-25	18.963	0.491
2071-09-26	18.502	1.65
2071-09-27	17.006	2.202
2071-09-28	15.705	1.908
2071-09-29	11.947	1.68
2071-09-30	9.654	1.471
2071-10-01	9.852	1.245
2071-10-02	16.493	1.041
2071-10-03	25.04	1.919
2071-10-04	24.089	4.05
2071-10-05	18.175	4.964
2071-10-06	13.231	4.421
2071-10-07	9.314	3.941
2071-10-08	8.173	3.503
2071-10-09	7.16	3.153
2071-10-10	5.523	3.516
2071-10-11	5.458	4.417
2071-10-12	10.149	4.56
2071-10-13	12.15	4.075
2071-10-14	8.517	3.653
2071-10-15	6.092	3.267
2071-10-16	5.288	2.895
2071-10-17	4.761	2.556
2071-10-18	4.28	2.246
2071-10-19	3.842	1.963
2071-10-20	3.443	1.714
2071-10-21	3.078	1.488
2071-10-22	2.88	1.271
2071-10-23	3.417	1.091
2071-10-24	5.964	1.015
2071-10-25	11.077	0.938
2071-10-26	17.523	1.087
2071-10-27	18.438	1.215
2071-10-28	13.663	1.327
2071-10-29	10.295	1.41
2071-10-30	7.315	3.425
2071-10-31	11.778	5.188
2071-11-01	17.157	8.047
2071-11-02	23.06	18.458
2071-11-03	23.873	27.238
2071-11-04	16.761	24.103
2071-11-05	12.977	17.028
2071-11-06	10.954	12.066
2071-11-07	14.87	15.227
2071-11-08	16.629	16.597
2071-11-09	13.257	17.678
2071-11-10	10.397	19.373
