Date	Baseline	corre_cnrmcclm
2041-09-02	0.095	0.286
2041-09-03	0.159	0.479
2041-09-04	0.149	0.395
2041-09-05	0.138	0.308
2041-09-06	0.127	0.275
2041-09-07	0.117	0.251
2041-09-08	0.207	0.46
2041-09-09	0.281	0.62
2041-09-10	0.617	0.496
2041-09-11	0.868	1.24
2041-09-12	0.698	2.004
2041-09-13	0.538	1.846
2041-09-14	0.474	1.59
2041-09-15	0.589	1.355
2041-09-16	1.352	1.161
2041-09-17	2.577	0.983
2041-09-18	4.641	0.794
2041-09-19	8.638	0.706
2041-09-20	11.389	0.76
2041-09-21	13.885	0.754
2041-09-22	16.075	0.677
2041-09-23	16.974	0.619
2041-09-24	16.144	0.564
2041-09-25	18.963	0.512
2041-09-26	18.502	0.465
2041-09-27	17.006	0.421
2041-09-28	15.705	0.381
2041-09-29	11.947	0.344
2041-09-30	9.654	0.31
2041-10-01	9.852	0.279
2041-10-02	16.493	0.25
2041-10-03	25.04	0.225
2041-10-04	24.089	0.201
2041-10-05	18.175	0.184
2041-10-06	13.231	0.169
2041-10-07	9.314	0.211
2041-10-08	8.173	0.373
2041-10-09	7.16	0.568
2041-10-10	5.523	4.958
2041-10-11	5.458	10.801
2041-10-12	10.149	7.662
2041-10-13	12.15	5.251
2041-10-14	8.517	4.485
2041-10-15	6.092	4.131
2041-10-16	5.288	3.84
2041-10-17	4.761	4.395
2041-10-18	4.28	6.89
2041-10-19	3.842	12.764
2041-10-20	3.443	15.175
2041-10-21	3.078	14.533
2041-10-22	2.88	12.562
2041-10-23	3.417	8.754
2041-10-24	5.964	7.265
2041-10-25	11.077	6.138
2041-10-26	17.523	5.087
2041-10-27	18.438	4.565
2041-10-28	13.663	4.084
2041-10-29	10.295	3.647
2041-10-30	7.315	3.247
2041-10-31	11.778	2.884
2041-11-01	17.157	2.552
2041-11-02	23.06	2.561
2041-11-03	23.873	2.714
2041-11-04	16.761	2.551
2041-11-05	12.977	2.255
2041-11-06	10.954	2.145
2041-11-07	14.87	2.248
2041-11-08	16.629	2.463
2041-11-09	13.257	5.428
2041-11-10	10.397	9.263
2041-11-11	7.366	7.562
2041-11-12	5.826	6.348
2041-11-13	5.308	5.549
2041-11-14	4.855	5.095
2041-11-15	4.413	4.611
2041-11-16	4.192	4.151
2041-11-17	3.98	3.733
2041-11-18	3.596	3.347
2041-11-19	3.264	2.995
2041-11-20	2.962	2.691
2041-11-21	2.673	2.655
2041-11-22	2.491	2.995
2041-11-23	2.449	3.656
2041-11-24	3.089	4.067
2041-11-25	5.956	3.858
2041-11-26	10.213	3.711
2041-11-27	16.433	3.578
2041-11-28	21.15	7.474
2041-11-29	35.832	13.678
2041-11-30	34.607	11.161
2041-12-01	35.419	9.872
2041-12-02	31.811	13.697
2041-12-03	17.493	46.6
2041-12-04	12.389	51.573
2041-12-05	8.796	25.075
2041-12-06	6.429	15.575
2041-12-07	7.7	14.308
2041-12-08	10.854	15.691
2041-12-09	13.402	17.306
2041-12-10	26.285	18.912
2041-12-11	27.494	18.258
2041-12-12	16.331	15.811
2041-12-13	11.62	14.019
2041-12-14	8.261	13.174
2041-12-15	6.227	11.639
2041-12-16	5.594	9.856
2041-12-17	5.077	8.573
2041-12-18	4.622	6.972
2041-12-19	4.208	5.921
2041-12-20	3.819	5.485
2041-12-21	3.465	5.046
2041-12-22	3.144	5.318
2041-12-23	2.914	15.318
2041-12-24	4.576	25.546
2041-12-25	36.056	21.308
2041-12-26	73.963	28.638
2041-12-27	56.368	32.469
2041-12-28	27.989	26.517
2041-12-29	16.489	31.988
2041-12-30	11.747	30.695
2041-12-31	8.365	24.706
2042-01-01	6.389	19.822
2042-01-02	6.413	15.22
2042-01-03	10.254	26.801
2042-01-04	16.517	29.936
2042-01-05	16.893	25.963
2042-01-06	19.402	27.946
2042-01-07	29.478	21.17
2042-01-08	37.56	16.691
2042-01-09	40.839	13.147
2042-01-10	29.054	10.557
2042-01-11	18.654	8.885
