Date	Baseline	corre_cnrmcclm
2072-10-22	0	0
2072-10-23	0	0
2072-10-24	0	0
2072-10-25	0	0
2072-10-26	0	0
2072-10-27	0	0
2072-10-28	0	0
2072-10-29	0	0
2072-10-30	0	0
2072-10-31	0	4.219
2072-11-01	0	2.65
2072-11-02	0	1.632
2072-11-03	0	1.536
2072-11-04	0	1.536
2072-11-05	0	1.536
2072-11-06	1.038	1.057
2072-11-07	0.828	0.381
2072-11-08	0	0.381
2072-11-09	0	0.381
2072-11-10	0	4.778
2072-11-11	0	10.977
2072-11-12	0	9.676
2072-11-13	0	6.133
2072-11-14	0	4.801
2072-11-15	0	3.845
2072-11-16	0	3.536
2072-11-17	0	6.368
2072-11-18	0	3.73
2072-11-19	7.326	2.649
2072-11-20	4.282	1.525
2072-11-21	1.582	0.485
2072-11-22	0.571	0.131
2072-11-23	0	0
2072-11-24	0	0
2072-11-25	0	0
2072-11-26	0	0
2072-11-27	0	0
2072-11-28	0	0
2072-11-29	0	0
2072-11-30	0	0
2072-12-01	0	0
2072-12-02	0	0
2072-12-03	0	0.286
2072-12-04	0	1.163
2072-12-05	0	0.327
2072-12-06	0	0.554
2072-12-07	0	2.598
2072-12-08	0	3.208
2072-12-09	0	2.541
2072-12-10	0	2.541
2072-12-11	0	2.541
2072-12-12	0	2.541
2072-12-13	0	1.766
2072-12-14	0	1.365
2072-12-15	0	1.365
2072-12-16	0	1.365
2072-12-17	0	3.161
2072-12-18	0	6.28
2072-12-19	0	2.632
2072-12-20	0	2.724
2072-12-21	0	2.724
2072-12-22	0	4.056
2072-12-23	0	22.016
2072-12-24	0	20.591
2072-12-25	0	20.591
2072-12-26	0	20.591
2072-12-27	5.415	62.601
2072-12-28	5.859	52.255
2072-12-29	16.689	46.474
2072-12-30	19.441	42.925
2072-12-31	19.441	35.035
2073-01-01	22.815	25.659
2073-01-02	41.102	26.999
2073-01-03	61.088	29.692
2073-01-04	73.684	28.665
2073-01-05	82.936	27.797
2073-01-06	95.7	27.797
2073-01-07	107.059	27.62
2073-01-08	111.089	26.944
2073-01-09	111.155	30.351
2073-01-10	111.155	30.248
2073-01-11	111.155	30.173
2073-01-12	111.155	30.173
2073-01-13	111.155	30.173
2073-01-14	111.155	30.173
2073-01-15	111.155	55.4
2073-01-16	111.155	64.544
2073-01-17	111.155	64.81
2073-01-18	111.688	64.869
2073-01-19	112.753	68.775
2073-01-20	113.552	68.775
2073-01-21	114.529	68.879
2073-01-22	122.962	68.879
2073-01-23	126.862	68.879
2073-01-24	152.024	68.879
2073-01-25	187.379	68.879
2073-01-26	188.493	68.874
