"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5114",1971-01-01,0,"01",0,0,0,0,0,0,0,0,0,0
"5115",1971-01-02,0,"01",0,0,0,0,0,0,0,0,0,0
"5116",1971-01-03,0,"01",0,0,0,0,0,0,0,0,0,0
"5117",1971-01-04,0.2,"01",0.2738,0.296,0.279,0.2068,0.231,0.293,0.252,0.2914,0.239,0.2648
"5118",1971-01-05,0.1,"01",0.1369,0.148,0.1395,0.1034,0.1155,0.1465,0.126,0.1457,0.1195,0.1324
"5119",1971-01-06,0,"01",0,0,0,0,0,0,0,0,0,0
"5120",1971-01-07,5.7,"01",7.8033,8.436,7.9515,5.8938,6.5835,8.3505,7.182,8.3049,6.8115,7.5468
"5121",1971-01-08,32.2,"01",44.0818,47.656,44.919,33.2948,37.191,47.173,40.572,46.9154,38.479,42.6328
"5122",1971-01-09,4.2,"01",5.7498,6.216,5.859,4.3428,4.851,6.153,5.292,6.1194,5.019,5.5608
"5123",1971-01-10,2.8,"01",3.8332,4.144,3.906,2.8952,3.234,4.102,3.528,4.0796,3.346,3.7072
"5124",1971-01-11,0,"01",0,0,0,0,0,0,0,0,0,0
"5125",1971-01-12,0,"01",0,0,0,0,0,0,0,0,0,0
"5126",1971-01-13,0,"01",0,0,0,0,0,0,0,0,0,0
"5127",1971-01-14,0,"01",0,0,0,0,0,0,0,0,0,0
"5128",1971-01-15,0,"01",0,0,0,0,0,0,0,0,0,0
"5129",1971-01-16,0,"01",0,0,0,0,0,0,0,0,0,0
"5130",1971-01-17,0.3,"01",0.4107,0.444,0.4185,0.3102,0.3465,0.4395,0.378,0.4371,0.3585,0.3972
"5131",1971-01-18,2.3,"01",3.1487,3.404,3.2085,2.3782,2.6565,3.3695,2.898,3.3511,2.7485,3.0452
"5132",1971-01-19,2,"01",2.738,2.96,2.79,2.068,2.31,2.93,2.52,2.914,2.39,2.648
"5133",1971-01-20,20.9,"01",28.6121,30.932,29.1555,21.6106,24.1395,30.6185,26.334,30.4513,24.9755,27.6716
"5134",1971-01-21,11.3,"01",15.4697,16.724,15.7635,11.6842,13.0515,16.5545,14.238,16.4641,13.5035,14.9612
"5135",1971-01-22,2.8,"01",3.8332,4.144,3.906,2.8952,3.234,4.102,3.528,4.0796,3.346,3.7072
"5136",1971-01-23,0.8,"01",1.0952,1.184,1.116,0.8272,0.924,1.172,1.008,1.1656,0.956,1.0592
"5137",1971-01-24,13.8,"01",18.8922,20.424,19.251,14.2692,15.939,20.217,17.388,20.1066,16.491,18.2712
"5138",1971-01-25,10.7,"01",14.6483,15.836,14.9265,11.0638,12.3585,15.6755,13.482,15.5899,12.7865,14.1668
"5139",1971-01-26,11.7,"01",16.0173,17.316,16.3215,12.0978,13.5135,17.1405,14.742,17.0469,13.9815,15.4908
"5140",1971-01-27,0.5,"01",0.6845,0.74,0.6975,0.517,0.5775,0.7325,0.63,0.7285,0.5975,0.662
