"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5170",1971-02-26,-1.404,-0.897,0.0880000000000001,-1.547,-2.9,-0.48,-0.0830000000000002,-0.929,-1.865,-2.288
"5171",1971-02-27,-5.804,-5.297,-4.312,-5.947,-7.3,-4.88,-4.483,-5.329,-6.265,-6.688
"5172",1971-02-28,-6.804,-6.297,-5.312,-6.947,-8.3,-5.88,-5.483,-6.329,-7.265,-7.688
"5173",1971-03-01,-4.881,-5.188,-5.74,-5.049,-6.191,-5.472,-3.881,-5.446,-6.749,-6.637
"5174",1971-03-02,-6.981,-7.288,-7.84,-7.149,-8.291,-7.572,-5.981,-7.546,-8.849,-8.737
"5175",1971-03-03,-6.881,-7.188,-7.74,-7.049,-8.191,-7.472,-5.881,-7.446,-8.749,-8.637
"5176",1971-03-04,-8.981,-9.288,-9.84,-9.149,-10.291,-9.572,-7.981,-9.546,-10.849,-10.737
"5177",1971-03-05,-10.381,-10.688,-11.24,-10.549,-11.691,-10.972,-9.381,-10.946,-12.249,-12.137
"5178",1971-03-06,-7.281,-7.588,-8.14,-7.449,-8.591,-7.872,-6.281,-7.846,-9.149,-9.037
"5179",1971-03-07,-2.181,-2.488,-3.04,-2.349,-3.491,-2.772,-1.181,-2.746,-4.049,-3.937
"5180",1971-03-08,3.819,3.512,2.96,3.651,2.509,3.228,4.819,3.254,1.951,2.063
"5181",1971-03-09,6.119,5.812,5.26,5.951,4.809,5.528,7.119,5.554,4.251,4.363
"5182",1971-03-10,1.019,0.712,0.16,0.851,-0.291,0.428,2.019,0.454,-0.849,-0.737
"5183",1971-03-11,-2.481,-2.788,-3.34,-2.649,-3.791,-3.072,-1.481,-3.046,-4.349,-4.237
"5184",1971-03-12,-2.781,-3.088,-3.64,-2.949,-4.091,-3.372,-1.781,-3.346,-4.649,-4.537
"5185",1971-03-13,0.0190000000000001,-0.288,-0.84,-0.149,-1.291,-0.572,1.019,-0.546,-1.849,-1.737
"5186",1971-03-14,4.319,4.012,3.46,4.151,3.009,3.728,5.319,3.754,2.451,2.563
"5187",1971-03-15,3.319,3.012,2.46,3.151,2.009,2.728,4.319,2.754,1.451,1.563
"5188",1971-03-16,3.319,3.012,2.46,3.151,2.009,2.728,4.319,2.754,1.451,1.563
"5189",1971-03-17,3.619,3.312,2.76,3.451,2.309,3.028,4.619,3.054,1.751,1.863
"5190",1971-03-18,3.019,2.712,2.16,2.851,1.709,2.428,4.019,2.454,1.151,1.263
"5191",1971-03-19,2.519,2.212,1.66,2.351,1.209,1.928,3.519,1.954,0.651,0.763
"5192",1971-03-20,2.419,2.112,1.56,2.251,1.109,1.828,3.419,1.854,0.551,0.663
"5193",1971-03-21,3.419,3.112,2.56,3.251,2.109,2.828,4.419,2.854,1.551,1.663
"5194",1971-03-22,2.019,1.712,1.16,1.851,0.709,1.428,3.019,1.454,0.151,0.263
"5195",1971-03-23,0.519,0.212,-0.34,0.351,-0.791,-0.0720000000000001,1.519,-0.046,-1.349,-1.237
"5196",1971-03-24,0.419,0.112,-0.44,0.251,-0.891,-0.172,1.419,-0.146,-1.449,-1.337
"5197",1971-03-25,4.319,4.012,3.46,4.151,3.009,3.728,5.319,3.754,2.451,2.563
"5198",1971-03-26,4.419,4.112,3.56,4.251,3.109,3.828,5.419,3.854,2.551,2.663
"5199",1971-03-27,3.219,2.912,2.36,3.051,1.909,2.628,4.219,2.654,1.351,1.463
"5200",1971-03-28,0.519,0.212,-0.34,0.351,-0.791,-0.0720000000000001,1.519,-0.046,-1.349,-1.237
"5201",1971-03-29,0.119,-0.188,-0.74,-0.0489999999999999,-1.191,-0.472,1.119,-0.446,-1.749,-1.637
"5202",1971-03-30,2.719,2.412,1.86,2.551,1.409,2.128,3.719,2.154,0.851,0.963
"5203",1971-03-31,1.919,1.612,1.06,1.751,0.609,1.328,2.919,1.354,0.051,0.163
"5204",1971-04-01,2.344,1.58,1.718,2.133,2.656,2.665,4.373,1.016,0.873,1.487
"5205",1971-04-02,3.244,2.48,2.618,3.033,3.556,3.565,5.273,1.916,1.773,2.387
"5206",1971-04-03,4.644,3.88,4.018,4.433,4.956,4.965,6.673,3.316,3.173,3.787
"5207",1971-04-04,4.944,4.18,4.318,4.733,5.256,5.265,6.973,3.616,3.473,4.087
"5208",1971-04-05,4.344,3.58,3.718,4.133,4.656,4.665,6.373,3.016,2.873,3.487
"5209",1971-04-06,3.644,2.88,3.018,3.433,3.956,3.965,5.673,2.316,2.173,2.787
"5210",1971-04-07,4.644,3.88,4.018,4.433,4.956,4.965,6.673,3.316,3.173,3.787
"5211",1971-04-08,5.244,4.48,4.618,5.033,5.556,5.565,7.273,3.916,3.773,4.387
"5212",1971-04-09,5.444,4.68,4.818,5.233,5.756,5.765,7.473,4.116,3.973,4.587
"5213",1971-04-10,6.744,5.98,6.118,6.533,7.056,7.065,8.773,5.416,5.273,5.887
"5214",1971-04-11,6.044,5.28,5.418,5.833,6.356,6.365,8.073,4.716,4.573,5.187
"5215",1971-04-12,6.944,6.18,6.318,6.733,7.256,7.265,8.973,5.616,5.473,6.087
"5216",1971-04-13,9.044,8.28,8.418,8.833,9.356,9.365,11.073,7.716,7.573,8.187
"5217",1971-04-14,7.544,6.78,6.918,7.333,7.856,7.865,9.573,6.216,6.073,6.687
"5218",1971-04-15,7.544,6.78,6.918,7.333,7.856,7.865,9.573,6.216,6.073,6.687
"5219",1971-04-16,7.644,6.88,7.018,7.433,7.956,7.965,9.673,6.316,6.173,6.787
"5220",1971-04-17,5.044,4.28,4.418,4.833,5.356,5.365,7.073,3.716,3.573,4.187
"5221",1971-04-18,5.344,4.58,4.718,5.133,5.656,5.665,7.373,4.016,3.873,4.487
"5222",1971-04-19,6.444,5.68,5.818,6.233,6.756,6.765,8.473,5.116,4.973,5.587
"5223",1971-04-20,6.544,5.78,5.918,6.333,6.856,6.865,8.573,5.216,5.073,5.687
"5224",1971-04-21,6.444,5.68,5.818,6.233,6.756,6.765,8.473,5.116,4.973,5.587
"5225",1971-04-22,6.944,6.18,6.318,6.733,7.256,7.265,8.973,5.616,5.473,6.087
"5226",1971-04-23,7.744,6.98,7.118,7.533,8.056,8.065,9.773,6.416,6.273,6.887
"5227",1971-04-24,7.544,6.78,6.918,7.333,7.856,7.865,9.573,6.216,6.073,6.687
"5228",1971-04-25,5.444,4.68,4.818,5.233,5.756,5.765,7.473,4.116,3.973,4.587
