"","Date","Observed"
"1","Jan",191.61
"2","Feb",135.463333333333
"3","Mar",136.193333333333
"4","Apr",75.4566666666667
"5","May",81.1566666666667
"6","Jun",89.04
"7","Jul",85.81
"8","Aug",126.066666666667
"9","Sep",157.98
"10","Oct",187.723333333333
"11","Nov",197.45
"12","Dec",182.673333333333
