"","Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",0.202004622663411,0.257514796486281,0.0280407218452125,-0.275468869956225,0.112193980833569,0.362460370641902,0.616193306952997,1.23646837988638,-0.444698773834345,-0.259533687972234
"2","Feb",-0.0802019742805091,0.120139344080112,0.0339672411036326,-0.0985618359376503,0.178237361235037,0.205817960760785,-0.0854289983328549,0.49335700472835,-0.180965890632062,-0.140531552403086
"3","Mar",1.76683938356133,1.809966416439,1.84290924022214,1.14428124138775,1.97258069320166,1.99854212060341,2.25088158447344,1.63565458673566,1.24532398632632,1.46877408409318
"4","Apr",5.62853827526604,5.85557693121693,5.72604925925926,5.56485756893908,6.39009166750461,7.09145304642151,6.82655843279961,6.40963142857143,4.79168704182572,5.67314985428668
"5","May",10.0474997603251,13.1468352961256,10.7338982960026,10.811629397519,11.7460045086686,12.7553956455704,12.3332631018115,13.4265692187458,9.72551115370913,10.8277453478984
"6","Jun",14.4756842592593,16.6564067901235,15.0396760797342,14.3130695496633,15.559912962963,15.8719083058832,15.5489736736737,17.337582748538,14.055971957672,14.6502625811358
"7","Jul",17.1036281362007,17.275257296467,16.9524643065528,16.5532007372108,17.1187921146953,17.5653510580843,17.7294344667248,18.4718161263373,15.7727977470558,15.9224778303947
"8","Aug",15.1429892473118,15.3014278033794,15.8416346348492,15.8982328119909,15.5308888888889,16.0145509224783,17.1525917368982,17.0900799983831,14.5692933947773,14.7891100533893
"9","Sep",11.5512583333333,11.3718981481481,12.4772663959641,11.8513835216748,11.738159234121,12.1555495944869,13.2094399399399,12.6370016290727,11.2359807495967,10.9548178719337
"10","Oct",7.6063298133402,7.43557849462366,8.23841326164874,7.83398723714452,8.16187848489272,8.36711536414632,8.54783174782051,8.47920681003584,7.70594941010027,7.63303851720476
"11","Nov",3.96316727312537,3.63731653678364,4.76951277777778,4.08342276589817,4.49315590304683,4.32116156377781,5.20991610965466,3.62274295754936,3.22594723177536,3.42039218393366
"12","Dec",1.07657535312629,0.952616947159171,1.41820021462128,1.29399892107624,1.41124172923042,1.0771193435453,2.66659723804398,1.75295847877473,0.127838364219227,0.577662034913219
