"","Date","Observed","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",-2.27258064516129,-3.26813125695217,-2.36245828698554,-2.53320355951057,-2.51585094549499,-3.09360400444939,-1.88125695216908,-2.16067853170189,-2.40072302558398,-2.22786429365962,-2.23598442714127
"2","Feb",-2.47213351452353,-2.76688041447257,-2.53004501443859,-3.56829454730763,-2.50774163410905,-2.00617886869373,-2.53163750636997,-2.39254289111602,-2.33482673687787,-2.78070749108205,-2.16703754034313
"3","Mar",-0.379810901001112,-1.47013348164627,-0.91273637374861,-0.982814238042269,-1.65745272525028,-0.760567296996663,-0.754115684093437,-1.27847608453838,-0.491379310344828,-0.268020022246941,-0.433314794215795
"4","Apr",3.22310344827586,2.62954022988506,3.05919540229885,3.02137931034483,2.88770114942529,2.6551724137931,2.76045977011494,2.45632183908046,2.95666666666667,3.21885057471264,2.74919540229885
"5","May",8.74788654060067,7.7297552836485,7.18526140155729,8.1492213570634,8.10695216907675,8.42686318131257,7.34199110122358,7.55300333704116,7.23987764182425,8.28971078976641,7.93442714126808
"6","Jun",12.6467816091954,12.2255172413793,11.6840229885057,12.0611494252874,11.9970114942529,11.8872413793103,12.1374712643678,12.4540229885057,11.5122988505747,12.5419540229885,12.5728735632184
"7","Jul",14.6532258064516,14.0161846496107,14.2476640711902,13.7544493882091,14.2413236929922,14.1472191323693,14.4274193548387,13.8060622914349,14.3754727474972,14.4093993325918,14.4438820912125
"8","Aug",13.5533370411568,12.7253058954394,13.3012791991101,12.5114015572859,12.939766407119,12.8776974416018,12.9484427141268,13.0051724137931,13.4138487208009,12.9586763070078,13.2453281423804
"9","Sep",9.55011494252873,9.49827586206897,9.42333333333333,9.33965517241379,9.47103448275862,9.58448275862069,9.38850574712644,9.48137931034483,9.19333333333333,9.93712643678161,9.41287356321839
"10","Oct",5.63042269187987,5.46813125695217,5.44677419354839,5.08203559510567,5.31184649610679,5.75144605116796,5.20450500556174,4.91540600667408,5.46223581757508,5.38259176863181,5.57780867630701
"11","Nov",1.72459770114943,1.52632183908046,1.49367816091954,1.31793103448276,1.60287356321839,0.795402298850575,1.64770114942529,2.50022988505747,1.51103448275862,1.63574712643678,1.42701149425287
"12","Dec",-0.923971078976641,-1.61095661846496,-1.02408231368187,-1.04699666295884,-1.55978865406007,-0.573804226918799,-0.746662958843159,-1.22196885428254,-0.45622914349277,-1.06134593993326,-0.82964404894327
