"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5114",1971-01-01,0,"01",0,0,0,0,0,0,0,0,0,0
"5115",1971-01-02,0,"01",0,0,0,0,0,0,0,0,0,0
"5116",1971-01-03,0,"01",0,0,0,0,0,0,0,0,0,0
"5117",1971-01-04,0.2,"01",0.2302,0.2192,0.2144,0.1966,0.1904,0.2192,0.2588,0.233,0.184,0.18
"5118",1971-01-05,0.1,"01",0.1151,0.1096,0.1072,0.0983,0.0952,0.1096,0.1294,0.1165,0.092,0.09
"5119",1971-01-06,0,"01",0,0,0,0,0,0,0,0,0,0
"5120",1971-01-07,5.7,"01",6.5607,6.2472,6.1104,5.6031,5.4264,6.2472,7.3758,6.6405,5.244,5.13
"5121",1971-01-08,32.2,"01",37.0622,35.2912,34.5184,31.6526,30.6544,35.2912,41.6668,37.513,29.624,28.98
"5122",1971-01-09,4.2,"01",4.8342,4.6032,4.5024,4.1286,3.9984,4.6032,5.4348,4.893,3.864,3.78
"5123",1971-01-10,2.8,"01",3.2228,3.0688,3.0016,2.7524,2.6656,3.0688,3.6232,3.262,2.576,2.52
"5124",1971-01-11,0,"01",0,0,0,0,0,0,0,0,0,0
"5125",1971-01-12,0,"01",0,0,0,0,0,0,0,0,0,0
"5126",1971-01-13,0,"01",0,0,0,0,0,0,0,0,0,0
"5127",1971-01-14,0,"01",0,0,0,0,0,0,0,0,0,0
"5128",1971-01-15,0,"01",0,0,0,0,0,0,0,0,0,0
"5129",1971-01-16,0,"01",0,0,0,0,0,0,0,0,0,0
"5130",1971-01-17,0.3,"01",0.3453,0.3288,0.3216,0.2949,0.2856,0.3288,0.3882,0.3495,0.276,0.27
"5131",1971-01-18,2.3,"01",2.6473,2.5208,2.4656,2.2609,2.1896,2.5208,2.9762,2.6795,2.116,2.07
"5132",1971-01-19,2,"01",2.302,2.192,2.144,1.966,1.904,2.192,2.588,2.33,1.84,1.8
"5133",1971-01-20,20.9,"01",24.0559,22.9064,22.4048,20.5447,19.8968,22.9064,27.0446,24.3485,19.228,18.81
"5134",1971-01-21,11.3,"01",13.0063,12.3848,12.1136,11.1079,10.7576,12.3848,14.6222,13.1645,10.396,10.17
"5135",1971-01-22,2.8,"01",3.2228,3.0688,3.0016,2.7524,2.6656,3.0688,3.6232,3.262,2.576,2.52
"5136",1971-01-23,0.8,"01",0.9208,0.8768,0.8576,0.7864,0.7616,0.8768,1.0352,0.932,0.736,0.72
"5137",1971-01-24,13.8,"01",15.8838,15.1248,14.7936,13.5654,13.1376,15.1248,17.8572,16.077,12.696,12.42
"5138",1971-01-25,10.7,"01",12.3157,11.7272,11.4704,10.5181,10.1864,11.7272,13.8458,12.4655,9.844,9.63
"5139",1971-01-26,11.7,"01",13.4667,12.8232,12.5424,11.5011,11.1384,12.8232,15.1398,13.6305,10.764,10.53
