"","Date","Observed","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",191.306896551724,159.134482758621,169.375862068966,159.458620689655,197.765517241379,180.275862068966,174.21724137931,185.444827586207,169.844827586207,196.568965517241,179.313793103448
"2","Feb",132.762068965517,153.724137931034,161.041379310345,130.4,150.348275862069,138.955172413793,145.586206896552,146.944827586207,140.079310344828,146.351724137931,145.672413793103
"3","Mar",137.58275862069,113.058620689655,100.88275862069,124.513793103448,109.106896551724,116.113793103448,111.565517241379,108.806896551724,123.81724137931,123.28275862069,117.679310344828
"4","Apr",73.7310344827586,100.206896551724,104.886206896552,98.8310344827586,102.344827586207,96.4103448275862,97.6241379310345,108.862068965517,91.2965517241379,89.8931034482759,100.651724137931
"5","May",80.2103448275862,122.268965517241,113.048275862069,101.296551724138,93.4241379310345,110.355172413793,94.4689655172414,91.1724137931034,90.5068965517241,99.1275862068966,83.0448275862069
"6","Jun",88.3551724137931,85.648275862069,84.6586206896552,102.41724137931,103.786206896552,116.251724137931,93.7551724137931,86.1586206896552,101.337931034483,97.9758620689655,104.668965517241
"7","Jul",85.1310344827586,138.320689655172,123.11724137931,147.103448275862,133.824137931034,104.21724137931,133.855172413793,131.479310344828,111.489655172414,135.427586206897,124.572413793103
"8","Aug",126.413793103448,165.548275862069,150.413793103448,148.465517241379,155.641379310345,154.855172413793,139.720689655172,141.668965517241,162.986206896552,144.462068965517,144.431034482759
"9","Sep",157.534482758621,156.489655172414,161.951724137931,178.248275862069,161.755172413793,182.655172413793,176.796551724138,155.410344827586,132.041379310345,174.086206896552,166.489655172414
"10","Oct",181.741379310345,233.148275862069,220.486206896552,185.365517241379,193.313793103448,229.51724137931,187.524137931034,208.248275862069,234.524137931034,233.620689655172,241.175862068966
"11","Nov",185.555172413793,210.806896551724,187.293103448276,218.803448275862,204.772413793103,186.593103448276,216.289655172414,227.693103448276,186.293103448276,206.189655172414,190.934482758621
"12","Dec",181.444827586207,190.289655172414,169.534482758621,193.027586206897,191.48275862069,178.703448275862,180.058620689655,198.744827586207,208.948275862069,190.124137931034,206.158620689655
