"","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",1.155,1.131,1.109,0.974,0.934,1.146,1.291,1.18,0.927,0.903
"2","Feb",0.868,0.946,1.196,0.832,0.93,1.015,1.342,1.359,0.973,1.022
"3","Mar",1.279,1.397,1.002,1.077,0.998,1.063,1.333,1.073,0.971,1.039
"4","Apr",1.004,1.053,0.931,0.937,1.12,1.058,1.011,1.226,1.365,1.133
"5","May",0.776,1.043,1.048,1.23,1.1,1.252,1.175,1.289,1.237,1.54
"6","Jun",1.22,1.272,0.789,0.993,0.948,0.881,1.048,1.382,1.346,1.268
"7","Jul",0.613,1.041,0.723,0.815,1.201,0.821,1.017,1.009,0.901,0.846
"8","Aug",0.68,1.053,0.603,0.662,1.062,1.037,0.813,1.064,0.972,0.947
"9","Sep",0.669,0.877,0.681,0.798,0.875,0.7,0.69,1,0.638,0.879
"10","Oct",0.772,0.872,0.782,0.705,0.951,0.934,0.755,1.043,0.621,0.728
"11","Nov",0.765,0.963,0.743,0.747,1.162,0.853,0.612,1.235,0.83,0.832
"12","Dec",1.042,1.281,1.065,1.094,0.97,1.273,1.034,1.075,0.975,0.967
