"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5174",1971-03-02,0,"03",0,0,0,0,0,0,0,0,0,0
"5175",1971-03-03,0.4,"03",0.408,0.536,0.422,0.4708,0.3136,0.4968,0.4644,0.504,0.4844,0.5668
"5176",1971-03-04,0,"03",0,0,0,0,0,0,0,0,0,0
"5177",1971-03-05,0,"03",0,0,0,0,0,0,0,0,0,0
"5178",1971-03-06,0,"03",0,0,0,0,0,0,0,0,0,0
"5179",1971-03-07,0,"03",0,0,0,0,0,0,0,0,0,0
"5180",1971-03-08,0,"03",0,0,0,0,0,0,0,0,0,0
"5181",1971-03-09,0.1,"03",0.102,0.134,0.1055,0.1177,0.0784,0.1242,0.1161,0.126,0.1211,0.1417
"5182",1971-03-10,0,"03",0,0,0,0,0,0,0,0,0,0
"5183",1971-03-11,1.3,"03",1.326,1.742,1.3715,1.5301,1.0192,1.6146,1.5093,1.638,1.5743,1.8421
"5184",1971-03-12,1.3,"03",1.326,1.742,1.3715,1.5301,1.0192,1.6146,1.5093,1.638,1.5743,1.8421
"5185",1971-03-13,11.5,"03",11.73,15.41,12.1325,13.5355,9.016,14.283,13.3515,14.49,13.9265,16.2955
"5186",1971-03-14,0,"03",0,0,0,0,0,0,0,0,0,0
"5187",1971-03-15,3.8,"03",3.876,5.092,4.009,4.4726,2.9792,4.7196,4.4118,4.788,4.6018,5.3846
"5188",1971-03-16,4.1,"03",4.182,5.494,4.3255,4.8257,3.2144,5.0922,4.7601,5.166,4.9651,5.8097
"5189",1971-03-17,22.3,"03",22.746,29.882,23.5265,26.2471,17.4832,27.6966,25.8903,28.098,27.0053,31.5991
"5190",1971-03-18,3.5,"03",3.57,4.69,3.6925,4.1195,2.744,4.347,4.0635,4.41,4.2385,4.9595
"5191",1971-03-19,6.6,"03",6.732,8.844,6.963,7.7682,5.1744,8.1972,7.6626,8.316,7.9926,9.3522
"5192",1971-03-20,29.8,"03",30.396,39.932,31.439,35.0746,23.3632,37.0116,34.5978,37.548,36.0878,42.2266
"5193",1971-03-21,0,"03",0,0,0,0,0,0,0,0,0,0
"5194",1971-03-22,0,"03",0,0,0,0,0,0,0,0,0,0
"5195",1971-03-23,0,"03",0,0,0,0,0,0,0,0,0,0
"5196",1971-03-24,4.1,"03",4.182,5.494,4.3255,4.8257,3.2144,5.0922,4.7601,5.166,4.9651,5.8097
"5197",1971-03-25,2.8,"03",2.856,3.752,2.954,3.2956,2.1952,3.4776,3.2508,3.528,3.3908,3.9676
"5198",1971-03-26,0,"03",0,0,0,0,0,0,0,0,0,0
"5199",1971-03-27,0,"03",0,0,0,0,0,0,0,0,0,0
"5200",1971-03-28,0,"03",0,0,0,0,0,0,0,0,0,0
"5201",1971-03-29,0,"03",0,0,0,0,0,0,0,0,0,0
"5202",1971-03-30,0,"03",0,0,0,0,0,0,0,0,0,0
"5203",1971-03-31,0,"03",0,0,0,0,0,0,0,0,0,0
"5204",1971-04-01,0.7,"04",0.7784,0.7273,0.7462,0.8071,0.8232,0.7742,0.7826,0.9513,1.0374,0.9751
"5205",1971-04-02,5.7,"04",6.3384,5.9223,6.0762,6.5721,6.7032,6.3042,6.3726,7.7463,8.4474,7.9401
"5206",1971-04-03,0.2,"04",0.2224,0.2078,0.2132,0.2306,0.2352,0.2212,0.2236,0.2718,0.2964,0.2786
"5207",1971-04-04,0,"04",0,0,0,0,0,0,0,0,0,0
"5208",1971-04-05,0,"04",0,0,0,0,0,0,0,0,0,0
"5209",1971-04-06,0,"04",0,0,0,0,0,0,0,0,0,0
"5210",1971-04-07,1.9,"04",2.1128,1.9741,2.0254,2.1907,2.2344,2.1014,2.1242,2.5821,2.8158,2.6467
"5211",1971-04-08,5.6,"04",6.2272,5.8184,5.9696,6.4568,6.5856,6.1936,6.2608,7.6104,8.2992,7.8008
"5212",1971-04-09,0,"04",0,0,0,0,0,0,0,0,0,0
"5213",1971-04-10,0,"04",0,0,0,0,0,0,0,0,0,0
"5214",1971-04-11,0,"04",0,0,0,0,0,0,0,0,0,0
"5215",1971-04-12,0,"04",0,0,0,0,0,0,0,0,0,0
"5216",1971-04-13,0,"04",0,0,0,0,0,0,0,0,0,0
"5217",1971-04-14,0,"04",0,0,0,0,0,0,0,0,0,0
"5218",1971-04-15,0,"04",0,0,0,0,0,0,0,0,0,0
"5219",1971-04-16,0,"04",0,0,0,0,0,0,0,0,0,0
"5220",1971-04-17,3,"04",3.336,3.117,3.198,3.459,3.528,3.318,3.354,4.077,4.446,4.179
"5221",1971-04-18,1.9,"04",2.1128,1.9741,2.0254,2.1907,2.2344,2.1014,2.1242,2.5821,2.8158,2.6467
"5222",1971-04-19,5.3,"04",5.8936,5.5067,5.6498,6.1109,6.2328,5.8618,5.9254,7.2027,7.8546,7.3829
"5223",1971-04-20,0.3,"04",0.3336,0.3117,0.3198,0.3459,0.3528,0.3318,0.3354,0.4077,0.4446,0.4179
"5224",1971-04-21,0,"04",0,0,0,0,0,0,0,0,0,0
"5225",1971-04-22,0,"04",0,0,0,0,0,0,0,0,0,0
"5226",1971-04-23,0,"04",0,0,0,0,0,0,0,0,0,0
"5227",1971-04-24,0,"04",0,0,0,0,0,0,0,0,0,0
"5228",1971-04-25,0,"04",0,0,0,0,0,0,0,0,0,0
"5229",1971-04-26,5.2,"04",5.7824,5.4028,5.5432,5.9956,6.1152,5.7512,5.8136,7.0668,7.7064,7.2436
"5230",1971-04-27,0,"04",0,0,0,0,0,0,0,0,0,0
