"","Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",184.582063406311,216.852951256641,168.65103106814,188.277251580256,180.309377727672,197.580360479988,214.639102490949,225.250849969684,173.362421132183,201.702133355776
"2","Feb",173.810874418472,194.407724912958,133.040372338059,162.188332234764,133.254718345566,157.333165837719,135.648890670972,138.825625639037,139.356316285455,168.992998430292
"3","Mar",101.105211293642,109.252100824902,107.020894814866,125.760072423698,116.302324229332,123.623053220424,122.854127553437,113.179749540049,107.99667075945,114.332782091763
"4","Apr",91.9180730708396,111.263243240701,105.171206967435,81.7727711833135,99.3510125626314,104.872752210436,104.359794917414,95.9690546752268,78.2891672613671,93.8999029673938
"5","May",99.7670115945666,104.591703469353,91.5493485900177,102.145515172359,94.6176679999211,84.8266023634574,113.754920935957,104.134119890593,104.559778860717,93.3236688820409
"6","Jun",70.9873028662386,95.6312031257633,84.8858124908212,104.743750535647,101.046876842513,76.5239774443396,97.1057996024582,102.835817780771,98.1310401837743,93.3611548163512
"7","Jul",70.3078391172127,118.822684671505,101.239932818297,94.3614690361345,116.537989029378,97.8717872512707,127.945174401595,103.760290004417,101.663430535152,102.702755656037
"8","Aug",100.767012899244,142.265537123658,77.3424304981616,76.1593444743463,130.06052615953,109.322034161793,106.826731791202,148.971203809414,116.948966357971,119.654739090419
"9","Sep",123.861172066819,131.407503881611,94.190055661745,115.056956686087,174.921074623049,114.162421338937,99.6974210742282,126.516473495324,103.946459263308,157.581525141214
"10","Oct",114.01395913045,152.944932165406,157.502511047323,163.102069315695,209.26105137933,191.416617762739,157.039873539163,190.117845889905,144.337021759489,176.788502621941
"11","Nov",130.670836313962,191.046427555706,153.16104379199,147.246980161144,202.455622929689,192.907101645728,168.354377263808,202.439443380801,149.368875671115,149.750145121069
"12","Dec",195.483654768994,196.868789553805,177.226914777597,186.578277706073,174.523103665455,177.382371602865,228.786000732193,235.688770524679,155.996807930841,196.699577207533
