"Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"Jan",0,0,0,0.0110176684522342,0,0,0.0421866224971769,0,0,0
"Feb",0,0,0,0,0,0.00133758631327754,0.118498339632614,0,0,0
"Mar",0.274682223351711,0.242337988530986,0.176450009629358,0.212974053398048,0.105193023211453,0.209320263178963,0.429417620743689,0.259533889165485,0.0973682888022599,0.0846806713630303
"Apr",1.16279417010871,1.00182148996877,1.07715135764949,1.17944183628633,1.17434663797743,1.16898720687559,1.4304195153445,0.85089227961451,1.01072902037711,1.03657156385169
"May",2.50307838410842,2.66597756852202,2.48201347956025,2.53304224474102,2.66428598367038,2.74039256176826,2.81234198022012,2.47227479776154,2.45672959364898,2.60828918142055
"Jun",3.66090183120851,4.21855441973912,3.79536862352231,3.74949163985097,3.95459070496107,3.88227308928164,3.88574059873527,4.22481142035306,3.6736988246819,3.82390505525521
"Jul",4.06716015135049,4.16447474843022,4.26328982421872,4.12028842835334,4.12735394483354,4.26916696050617,4.12914848440009,4.37539329116186,4.04159726622385,4.09556882963715
"Aug",3.38257793935587,3.42758532269874,3.4163484411273,3.35411803702988,3.27934195619199,3.38516560538262,3.47514975724622,3.54095773823132,3.22100591258437,3.27713598277303
"Sep",2.15735359475699,2.09776929092049,2.20334415422676,2.15959523415145,2.12008736931032,2.16600142863673,2.25831325747911,2.17160073868301,2.12737667891933,2.0368902024471
"Oct",1.1655302329139,1.09578980796459,1.11460664971166,1.09335794906265,1.11659610905372,1.07844098007622,1.14797378999312,1.14833431324531,1.11863024235938,1.07817464480608
"Nov",0.500629212627913,0.439448691930017,0.456340212933927,0.47717557838357,0.449426668173513,0.400641529619774,0.388773456104881,0.403674829021427,0.496342232172536,0.415806945674509
"Dec",0.0810320241516444,0.0612152822286492,0.15074478482263,0.211148815470548,0.0516677282431967,0.117494407214289,0.113244696864963,0.11243525988765,0.061218887635992,0.0649659031424644
