"","Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",-1.1576462248787,-0.758876923161458,-1.08666558911957,0.0716679949117905,-1.19857327327401,-0.818735512023218,0.403691883619929,-0.0808899418325808,-1.90496303017394,-1.71600231860959
"2","Feb",-0.85178669389482,-0.297859227062173,-0.0478614792001879,-0.538247926741939,-1.749819641821,0.00656248046033044,0.870549436721031,-0.112359217201522,-1.75439593793135,-1.4690677790021
"3","Mar",1.31764006807262,1.2844114337248,0.867678762456182,1.02350795257388,0.482588249463261,1.08744356716231,2.54887294316414,1.45135384882024,0.360262037141764,0.327602145541176
"4","Apr",5.07669064328896,4.5988044973545,4.82701592592593,5.22432655531158,5.23164407702425,5.3822614009671,7.01285888888889,3.99679907407407,4.06033500835786,4.2910269203723
"5","May",9.90228602150538,10.958698156682,9.99951460543707,10.1101567179245,10.7172537747936,11.2475010402629,11.9142659110724,10.2821372382569,9.33243659513721,10.1317717918929
"6","Jun",13.671325,16.2541414462081,14.3920752430171,14.1051682659933,14.9777807189542,14.857178375159,15.1830739239239,16.4095046644389,13.3799237259588,14.1337163981554
"7","Jul",15.8950322580645,16.5899852363885,16.8830884506841,16.1860203853047,16.2455949820789,17.0044274685625,16.696284074397,17.5975622793543,15.4736356886841,15.8279621104557
"8","Aug",15.0152688172043,15.5315889230244,15.341043177461,14.9448723525578,14.6152455197133,15.2985482693808,16.0266817785527,16.206794176301,13.8939114183308,14.298222634254
"9","Sep",11.3042666666667,11.3086760141093,11.7534006398425,11.3939268286532,11.2034801240154,11.6633196431675,12.5390791791792,11.8891789055973,10.7658533407172,10.3869980792601
"10","Oct",7.42382494061258,7.27550770609319,7.25080573476702,6.9960293863644,7.19301556830369,7.11981490050055,7.96292247030098,7.80503028673835,6.74501917425209,6.6003410919356
"11","Nov",4.00865806388967,3.73506741215575,3.76322037037037,3.86280857342695,3.64635015582911,3.36197518098865,3.51752919813913,3.53397978835979,3.69029618632972,3.1121793604524
"12","Dec",0.680458809522116,0.576435027515273,1.4233374368036,1.98523550715137,0.436311770956402,1.13509396767339,1.2279384940819,1.15645145471139,0.429233816025543,0.486774953835179
