"Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"Jan",0.0261193162562617,0.0272454091889301,0.00336655661165846,0,0.0123864956629801,0.0349462172701182,0.0546761723721497,0.107064760440342,0,0
"Feb",0,0.0171057498815707,0.00536416565121779,0,0.0257349668306165,0.0262919065452737,0,0.0548588690312264,0,0
"Mar",0.334788565615218,0.307648980786257,0.322787676932152,0.217350278296742,0.338585950669891,0.322011216375855,0.343635413696457,0.239542462756027,0.266429918958627,0.293112479093664
"Apr",1.22777872640158,1.20002882571242,1.19462121782743,1.2001657471408,1.31540593740515,1.41017628536717,1.31832000280215,1.21446364700475,1.11609311756811,1.2637024348029
"May",2.47449520833836,3.0982113978292,2.56661747289785,2.63246829525136,2.78480971742207,2.9654270860589,2.82092224450109,3.05063809054296,2.47919514472868,2.68736671954687
"Jun",3.79827096833362,4.25571610827486,3.87539153954666,3.74065216191375,3.99064989911842,4.01970179442894,3.89392115275944,4.32918415923162,3.77097551097476,3.87254432169705
"Jul",4.30078854982111,4.2703767148002,4.21289954361314,4.15602599172343,4.24051215442355,4.30668980033099,4.31055578698757,4.47537334513086,4.05284953895155,4.04958783964966
"Aug",3.36091192721071,3.32222784316702,3.45651871568785,3.50435580707092,3.37880375372287,3.44018799222075,3.65083084431781,3.61796468465376,3.30420347225417,3.31353224797003
"Sep",2.15425059290078,2.0533796214811,2.26747442886478,2.19316201428259,2.12567478998109,2.15866634997492,2.31093647376024,2.18868917586112,2.15805413822526,2.07488242466667
"Oct",1.15415063874238,1.07434163898006,1.20347346273217,1.1754289810577,1.18307820666307,1.1788213842542,1.1752014688756,1.14913441992458,1.2161022268241,1.1781219585865
"Nov",0.47183005635066,0.402229600005344,0.534657470669151,0.4782676971468,0.498541808718641,0.459285974959837,0.53439044266377,0.359750318840991,0.416601443337884,0.422830702873346
"Dec",0.11338908552438,0.0885079263136729,0.135072511652535,0.131621071388723,0.131730838958716,0.0936490121350569,0.22021631471522,0.138709114304917,0.0182863342249463,0.06670384465089
