"","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",1.472,1.341,0.844,2.05,1.558,0.889,2.24,2.143,0.274,0.435
"2","Feb",1.314,1.944,2.887,1.417,-0.023,2.371,2.945,2.042,0.991,0.618
"3","Mar",2.24,1.985,1.353,2.153,0.968,1.652,3.543,1.785,0.514,0.66
"4","Apr",2.071,1.296,1.441,1.948,2.369,2.385,4.263,0.854,0.703,1.389
"5","May",1.725,3.423,1.407,1.682,2.053,3.593,3.967,2.768,0.924,2.006
"6","Jun",0.694,4.021,1.661,1.681,2.677,2.262,2.228,4.434,0.628,1.337
"7","Jul",0.958,1.627,2.307,1.416,1.483,2.019,2.37,2.531,0.767,1.134
"8","Aug",1.505,1.581,2.148,1.533,1.243,1.859,2.518,2.193,0.766,0.822
"9","Sep",1.28,1.438,1.96,1.604,1.364,1.914,2.626,2.34,0.711,0.775
"10","Oct",1.574,1.514,1.791,1.365,1.259,1.641,2.704,2.105,1.243,0.841
"11","Nov",2.044,2.008,2.013,1.836,2.591,1.484,0.696,1.847,1.944,1.547
"12","Dec",1.734,1.359,1.943,3.017,0.726,1.687,2.157,1.453,1.42,1.216
