"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5183",1971-03-11,1.2948,1.5613,1.2402,1.6731,1.4872,1.5379,1.6523,1.2909,1.2974,1.3585
"5184",1971-03-12,1.2948,1.5613,1.2402,1.6731,1.4872,1.5379,1.6523,1.2909,1.2974,1.3585
"5185",1971-03-13,11.454,13.8115,10.971,14.8005,13.156,13.6045,14.6165,11.4195,11.477,12.0175
"5186",1971-03-14,0,0,0,0,0,0,0,0,0,0
"5187",1971-03-15,3.7848,4.5638,3.6252,4.8906,4.3472,4.4954,4.8298,3.7734,3.7924,3.971
"5188",1971-03-16,4.0836,4.9241,3.9114,5.2767,4.6904,4.8503,5.2111,4.0713,4.0918,4.2845
"5189",1971-03-17,22.2108,26.7823,21.2742,28.7001,25.5112,26.3809,28.3433,22.1439,22.2554,23.3035
"5190",1971-03-18,3.486,4.2035,3.339,4.5045,4.004,4.1405,4.4485,3.4755,3.493,3.6575
"5191",1971-03-19,6.5736,7.9266,6.2964,8.4942,7.5504,7.8078,8.3886,6.5538,6.5868,6.897
"5192",1971-03-20,29.6808,35.7898,28.4292,38.3526,34.0912,35.2534,37.8758,29.5914,29.7404,31.141
"5193",1971-03-21,0,0,0,0,0,0,0,0,0,0
"5194",1971-03-22,0,0,0,0,0,0,0,0,0,0
"5195",1971-03-23,0,0,0,0,0,0,0,0,0,0
"5196",1971-03-24,4.0836,4.9241,3.9114,5.2767,4.6904,4.8503,5.2111,4.0713,4.0918,4.2845
"5197",1971-03-25,2.7888,3.3628,2.6712,3.6036,3.2032,3.3124,3.5588,2.7804,2.7944,2.926
"5198",1971-03-26,0,0,0,0,0,0,0,0,0,0
"5199",1971-03-27,0,0,0,0,0,0,0,0,0,0
"5200",1971-03-28,0,0,0,0,0,0,0,0,0,0
"5201",1971-03-29,0,0,0,0,0,0,0,0,0,0
"5202",1971-03-30,0,0,0,0,0,0,0,0,0,0
"5203",1971-03-31,0,0,0,0,0,0,0,0,0,0
"5204",1971-04-01,0.7588,0.8386,0.8246,0.6377,0.8323,0.8267,0.7658,0.8099,0.7434,0.7371
"5205",1971-04-02,6.1788,6.8286,6.7146,5.1927,6.7773,6.7317,6.2358,6.5949,6.0534,6.0021
"5206",1971-04-03,0.2168,0.2396,0.2356,0.1822,0.2378,0.2362,0.2188,0.2314,0.2124,0.2106
"5207",1971-04-04,0,0,0,0,0,0,0,0,0,0
"5208",1971-04-05,0,0,0,0,0,0,0,0,0,0
"5209",1971-04-06,0,0,0,0,0,0,0,0,0,0
"5210",1971-04-07,2.0596,2.2762,2.2382,1.7309,2.2591,2.2439,2.0786,2.1983,2.0178,2.0007
"5211",1971-04-08,6.0704,6.7088,6.5968,5.1016,6.6584,6.6136,6.1264,6.4792,5.9472,5.8968
"5212",1971-04-09,0,0,0,0,0,0,0,0,0,0
"5213",1971-04-10,0,0,0,0,0,0,0,0,0,0
"5214",1971-04-11,0,0,0,0,0,0,0,0,0,0
"5215",1971-04-12,0,0,0,0,0,0,0,0,0,0
"5216",1971-04-13,0,0,0,0,0,0,0,0,0,0
"5217",1971-04-14,0,0,0,0,0,0,0,0,0,0
"5218",1971-04-15,0,0,0,0,0,0,0,0,0,0
"5219",1971-04-16,0,0,0,0,0,0,0,0,0,0
"5220",1971-04-17,3.252,3.594,3.534,2.733,3.567,3.543,3.282,3.471,3.186,3.159
