"","Date","Observed","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",-2.27258064516129,-2.6301292250032,-2.10011833665961,-1.93078168105895,-1.97850703173954,-2.75697813098241,-1.70783221211188,-1.83657727615603,-2.22401660431462,-2.17932521110488,-2.15071863824893
"2","Feb",-2.47213351452353,-2.16540181927841,-2.24197792454473,-2.93447260633219,-1.95551505533491,-1.7273021684962,-2.36451736058507,-2.07488264381593,-2.15442459820656,-2.74572287706624,-2.08692681121547
"3","Mar",-0.379810901001112,-0.922219049519807,-0.701031286514758,-0.48576687355965,-1.12950200182034,-0.485760926904445,-0.56470995574895,-0.993922999321759,-0.333650177908274,-0.154111530322928,-0.332780008604754
"4","Apr",3.22310344827586,3.00582231119797,3.30242212398074,3.3859995621237,3.27602776191851,2.86290108753302,2.99704828583165,2.74987948939529,3.14329827586207,3.35717814436201,2.90162816564117
"5","May",8.74788654060067,8.17755504423253,7.53561123470523,8.59284428742654,8.42805135606501,8.66421824819601,7.65410431957182,7.94738587027799,7.51378735632184,8.40847369810299,8.12618601328315
"6","Jun",12.6467816091954,12.9777030651341,12.2333559569422,12.7314719771897,12.4239419706443,12.3004519599175,12.5953599215155,12.9552192709951,11.9750231037364,12.7522159226894,12.7967662120225
"7","Jul",14.6532258064516,14.9369466073415,14.9633048184049,14.5763637953823,14.7702808254963,14.763008135401,14.985117921072,14.3265276733909,15.0665970264928,14.7066020445998,14.694396418836
"8","Aug",13.5533370411568,13.5102113459399,13.951011970973,13.1927161593354,13.4121272373344,13.3725776923245,13.4392569578475,13.5084728777721,14.0140639557738,13.1278536162202,13.476094516923
"9","Sep",9.55011494252873,10.0247025084636,9.87026172231345,9.79354469775079,9.79006230065416,9.83968039909156,9.7488682074388,9.9131593144869,9.5496526517443,10.0551491687058,9.61240366083959
"10","Oct",5.63042269187987,5.84940065334197,5.76190831045114,5.46014155940463,5.63072381347842,5.93392354461279,5.47927625764685,5.2584782822285,5.69988394512421,5.50162482735904,5.75924782910525
"11","Nov",1.72459770114943,1.96455595219664,1.72684111510357,1.75063396699086,2.02666479720439,1.0558100080145,1.87828062164334,2.82137995297749,1.68717279630073,1.74630225880866,1.56541488273619
"12","Dec",-0.923971078976641,-1.05380937102643,-0.782457332518352,-0.519647892304864,-1.03138192278575,-0.289975235052316,-0.551456455052424,-0.929101498080807,-0.296718252888361,-0.990691476710722,-0.728890705757699
