"Date","Observed","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"Jan",0,0,0,0,0,0,0,0,0,0,0
"Feb",0,0,0,0,0,0,0,0,0,0,0
"Mar",0,0,0,0,0,0,0,0,0,0,0
"Apr",0.91560395512285,0.857442984822665,0.934045289851648,0.953747414589474,0.943566484958213,0.824616780962602,0.8646546807493,0.820586351531473,0.925897004363863,0.967141390548343,0.877445876578708
"May",2.45145252626387,2.29997178726768,2.16651304581983,2.41108230275396,2.36010920458228,2.43109630565367,2.21410996957508,2.29223018264982,2.17937218819432,2.36916999077962,2.31185385033858
"Jun",3.59993495615184,3.69595662160004,3.53886771718682,3.63058067456817,3.56451965880665,3.54158991745702,3.61315298029776,3.7031380359266,3.47623286500459,3.63104318967161,3.66117241533622
"Jul",3.95489703811014,3.99687056630727,4.02377614182315,3.94424041959815,3.98311915578621,3.97196862308991,4.04697681860838,3.88035540612525,4.05805990659757,3.966476604943,3.96272687591055
"Aug",3.24291923544129,3.2108988135908,3.31870971858893,3.18136829602773,3.21298766385715,3.23062428916843,3.2234381907653,3.23915874807571,3.3414389796613,3.16540273473722,3.24344208412517
"Sep",2.00663069627576,2.07928047171484,2.06629501389511,2.05821757341424,2.05712408286957,2.05866723273945,2.05290935291273,2.07142208126387,2.00946453317218,2.09743679750285,2.02300514284373
"Oct",1.03514079423775,1.05005227593769,1.04556879420532,1.01113505598666,1.03509736080417,1.09243501238185,1.01017672676442,0.969670261636764,1.04360532892231,1.01095518934391,1.04895053309051
"Nov",0.299426111049495,0.325545644898839,0.304818969106385,0.313390612442437,0.329861220379185,0.215433713813992,0.331662204258198,0.431438980744094,0.296753917658058,0.295214216281343,0.265304530345963
"Dec",0,0,0,0,0,0,0,0,0,0,0
