Year	Baseline	delta_cnrmcclm	delta_cnrmrca	delta_ecearthcclm	delta_ecearthhirham	delta_ecearthracmo	delta_ecearthrca	delta_hadgemrca	delta_ipslrca	delta_mpicclm	delta_mpirca
1971	0.141714285714286	0.142	0.214857142857143	0.141285714285714	0.192714285714286	0.217714285714286	0.156571428571429	0.141714285714286	0.259714285714286	0.140714285714286	0.226428571428571
1972	1.38114285714286	0.066	0.107285714285714	0.065	0.091	0.108	0.0807142857142857	0.0682857142857143	0.122	0.0702857142857143	0.111714285714286
1973	0.886428571428571	0.158428571428571	0.462857142857143	0.193428571428571	0.262714285714286	0.429285714285714	0.278	0.288714285714286	0.452428571428571	0.338	0.339285714285714
1974	0.502	0.111142857142857	0.181714285714286	0.0715714285714286	0.059	0.131714285714286	0.0928571428571429	0.0228571428571429	0.198857142857143	0.218857142857143	0.192714285714286
1975	0.364857142857143	0.0421428571428571	0.0437142857142857	0.0255714285714286	0.0348571428571429	0.0315714285714286	0.0282857142857143	0.0342857142857143	0.0501428571428571	0.0548571428571429	0.0482857142857143
1976	0.392428571428571	0.00485714285714286	0.0175714285714286	0.00714285714285714	0.00971428571428571	0.0255714285714286	0.0104285714285714	0.016	0.017	0.0134285714285714	0.0122857142857143
1977	0.294142857142857	0.0905714285714286	0.162857142857143	0.0852857142857143	0.111714285714286	0.176142857142857	0.0968571428571428	0.143428571428571	0.172428571428571	0.148	0.155857142857143
1978	0.329714285714286	0.444571428571429	0.707428571428571	0.391285714285714	0.498	0.590571428571429	0.521857142857143	0.407428571428571	0.747142857142857	0.611428571428571	0.678571428571429
1979	0.442571428571429	0.229142857142857	0.190571428571429	0.208285714285714	0.300571428571429	0.201571428571429	0.191428571428571	0.307142857142857	0.268	0.144571428571429	0.142714285714286
1980	0.555714285714286	0.314428571428571	0.615714285714286	0.308857142857143	0.261285714285714	0.381285714285714	0.406428571428571	0.132428571428571	0.592285714285714	0.317	0.256857142857143
1981	0.687142857142857	0.026	0.0792857142857143	0.0222857142857143	0.0315714285714286	0.0924285714285714	0.0635714285714286	0.0417142857142857	0.083	0.0611428571428571	0.0657142857142857
1982	0.0722857142857143	0.0397142857142857	0.0718571428571429	0.0287142857142857	0.043	0.08	0.0477142857142857	0.0597142857142857	0.0704285714285714	0.0665714285714286	0.0607142857142857
1983	0.468285714285714	0.00842857142857143	0.024	0.00628571428571429	0.00857142857142857	0.0275714285714286	0.0208571428571429	0.0128571428571429	0.0244285714285714	0.021	0.019
1984	0.715571428571429	0.0377142857142857	0.103714285714286	0.0277142857142857	0.0385714285714286	0.118	0.0874285714285714	0.0591428571428571	0.104285714285714	0.0928571428571429	0.0831428571428571
1985	0.249571428571429	0.482571428571429	0.578428571428571	0.352142857142857	0.514	0.375571428571429	0.427571428571429	0.605571428571429	0.687857142857143	0.379857142857143	0.366142857142857
1986	0.148857142857143	0.0435714285714286	0.0652857142857143	0.0332857142857143	0.047	0.0652857142857143	0.0404285714285714	0.0592857142857143	0.0651428571428571	0.0652857142857143	0.058
1987	0.343857142857143	0.312428571428571	0.344428571428571	0.143	0.231714285714286	0.225142857142857	0.170571428571429	0.249857142857143	0.369714285714286	0.379571428571429	0.334
1988	1.04342857142857	0.129428571428571	0.149428571428571	0.109285714285714	0.128	0.131714285714286	0.111	0.0914285714285714	0.212285714285714	0.326142857142857	0.264142857142857
1989	0.770857142857143	0.159142857142857	0.248714285714286	0.110428571428571	0.178285714285714	0.178571428571429	0.139857142857143	0.212714285714286	0.253857142857143	0.246428571428571	0.226142857142857
1990	0.0664285714285714	0.114142857142857	0.165	0.117285714285714	0.132571428571429	0.187285714285714	0.137142857142857	0.156571428571429	0.159714285714286	0.157142857142857	0.148285714285714
1991	1.00071428571429	0.111571428571429	0.161428571428571	0.104428571428571	0.0631428571428571	0.140285714285714	0.116285714285714	0.053	0.138857142857143	0.360714285714286	0.278857142857143
1992	1.66885714285714	0.005	0.00714285714285714	0.00628571428571429	0.00771428571428571	0.008	0.00714285714285714	0.00714285714285714	0.00871428571428571	0.009	0.009
1993	0.282285714285714	0.0662857142857143	0.0765714285714286	0.0301428571428571	0.052	0.0428571428571429	0.0374285714285714	0.0534285714285714	0.0955714285714286	0.0985714285714286	0.0868571428571429
1994	0.134285714285714	0.137857142857143	0.199285714285714	0.0665714285714286	0.105	0.151428571428571	0.0832857142857143	0.139285714285714	0.212	0.230857142857143	0.177142857142857
1995	0.112142857142857	0.0171428571428571	0.0508571428571429	0.0208571428571429	0.0285714285714286	0.0681428571428571	0.0314285714285714	0.0461428571428571	0.0484285714285714	0.0427142857142857	0.0375714285714286
1996	1.38114285714286	0.100857142857143	0.189571428571429	0.0812857142857143	0.118428571428571	0.208571428571429	0.112571428571429	0.169571428571429	0.190142857142857	0.180142857142857	0.159
1997	0.886428571428571	0.0561428571428571	0.169142857142857	0.063	0.0882857142857143	0.227142857142857	0.107571428571429	0.144428571428571	0.161571428571429	0.141	0.124428571428571
1998	0.502	0.508571428571429	0.810714285714286	0.454428571428571	0.576142857142857	0.757285714285714	0.707857142857143	0.617	0.984	0.888571428571429	0.972714285714286
1999	0.364857142857143	0.127142857142857	0.292285714285714	0.118	0.162	0.352571428571429	0.181	0.242714285714286	0.281857142857143	0.255857142857143	0.228142857142857
2000	0.392428571428571	0.473571428571429	1.23228571428571	0.575428571428571	0.733285714285714	1.39714285714286	0.782571428571429	1.12928571428571	1.19	1.00614285714286	0.902571428571429
