Year	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2041	0.141714285714286	0.217	0.0441428571428571	0.376	0.126142857142857	0	1.29871428571429	0	0.512285714285714	0.299571428571429	2.01871428571429
2042	1.38114285714286	0.584285714285714	0.301714285714286	0.214428571428571	0.095	0.589285714285714	0.551142857142857	0.511142857142857	0.429428571428571	0.427428571428571	0.967142857142857
2043	0.886428571428571	0.241714285714286	0.498857142857143	0.0914285714285714	0.718428571428571	0.871428571428571	0.0485714285714286	0.594857142857143	0.46	0.191	0.272142857142857
2044	0.502	0.0698571428571429	0.328285714285714	0.157285714285714	0.0827142857142857	0.0814285714285714	0.544428571428571	0.127428571428571	0.340142857142857	0.0468571428571429	0.134857142857143
2045	0.364857142857143	0.411571428571429	0.501285714285714	0.534857142857143	0.228857142857143	0.481857142857143	0.973571428571429	0.444285714285714	1.86071428571429	0.190857142857143	0.144857142857143
2046	0.392428571428571	0.222714285714286	0.584	0.183857142857143	0.148	0.0614285714285714	0.193142857142857	0.128428571428571	0.659857142857143	0.343285714285714	0.533714285714286
2047	0.294142857142857	0.0197142857142857	0.0991428571428571	0.153428571428571	0.122142857142857	1.19842857142857	0.171285714285714	0.235571428571429	0.239142857142857	0.289	0.240285714285714
2048	0.329714285714286	0.0828571428571429	0.273	0.0495714285714286	0.661285714285714	0.136142857142857	0.347285714285714	0.105428571428571	0.930285714285714	0.157428571428571	0.0901428571428571
2049	0.442571428571429	0.608571428571429	0.259142857142857	0.113285714285714	0.0838571428571429	0.294142857142857	0.118571428571429	0.228	0.774857142857143	0.0532857142857143	0.207
2050	0.555714285714286	0.444285714285714	0.538285714285714	0.00485714285714286	0.826571428571429	0.00328571428571429	0.0182857142857143	0.104285714285714	0.553571428571429	0.340571428571429	0.734857142857143
2051	0.687142857142857	0.124285714285714	0.176142857142857	0.132571428571429	0.08	0.202571428571429	0.675571428571429	0.153857142857143	0.176	0.245571428571429	0.0547142857142857
2052	0.0722857142857143	0.0287142857142857	0.211428571428571	0.169428571428571	0.00314285714285714	0.316285714285714	0.0534285714285714	0.343857142857143	0.0447142857142857	0.192857142857143	0.251857142857143
2053	0.468285714285714	0.451571428571429	0.401714285714286	0.271571428571429	0.0632857142857143	0.106285714285714	0.671	0.313428571428571	0.341857142857143	0.0228571428571429	0.0417142857142857
2054	0.715571428571429	0.024	0.244571428571429	0.242	0.0482857142857143	0.253428571428571	0.722142857142857	0.0864285714285714	0.253428571428571	0.395428571428571	0.343285714285714
2055	0.249571428571429	0.107857142857143	0.570714285714286	0.840571428571429	0.762714285714286	0.700428571428571	0.204	0.00642857142857143	0.734142857142857	0.282857142857143	0.338285714285714
2056	0.148857142857143	0.195714285714286	0.615285714285714	0.352	0.139	0.151428571428571	0.342285714285714	0.0242857142857143	0.359142857142857	0.708285714285714	0.268571428571429
2057	0.343857142857143	0.125	0.603428571428571	0.00285714285714286	0.280142857142857	0.0345714285714286	0.0198571428571429	0.105571428571429	0.539285714285714	0.413857142857143	0.414
2058	1.04342857142857	0.149285714285714	0.0464285714285714	0.0135714285714286	0.079	0.176714285714286	0.724	0.324142857142857	0.144	0.255285714285714	0.289714285714286
2059	0.770857142857143	0.487428571428571	1.095	0.278571428571429	0.377571428571429	0.312285714285714	0.549428571428571	0.107571428571429	0.565	0.164	0.188285714285714
2060	0.0664285714285714	0.065	0.364142857142857	0.179285714285714	0.288714285714286	0.926571428571429	0.262428571428571	0.381142857142857	0.290571428571429	0.329285714285714	0.390571428571429
2061	1.00071428571429	0.463	0.598857142857143	0.0855714285714286	0.345428571428571	0.407714285714286	0.623142857142857	0.157714285714286	0.358714285714286	0.424571428571429	0.564714285714286
2062	1.66885714285714	0.426142857142857	0.259	0.313142857142857	0.026	0.161142857142857	0.541571428571429	0.210428571428571	0.146571428571429	0.0654285714285714	0.0824285714285714
2063	0.282285714285714	0.235285714285714	0.133	0.710285714285714	0.248714285714286	0.0651428571428571	0.198857142857143	0.388142857142857	0.338142857142857	0.0548571428571429	0.004
2064	0.134285714285714	0.367142857142857	0.375714285714286	0.0358571428571429	0.535285714285714	0.910714285714286	0.178	0.472428571428571	0.0138571428571429	0.255857142857143	0.589714285714286
2065	0.112142857142857	0.057	0.104142857142857	0.172	0.315714285714286	0.284142857142857	0.257285714285714	0.0395714285714286	0.412285714285714	0.106714285714286	0.488428571428571
2066	1.38114285714286	0.957857142857143	0.808857142857143	0.0768571428571429	0.222857142857143	0.490285714285714	0.0708571428571429	0.03	0.260571428571429	0.540571428571429	0.409428571428571
2067	0.886428571428571	0.113428571428571	0.414714285714286	0.00542857142857143	0.205857142857143	0.361571428571429	0.009	0.347142857142857	0.361571428571429	0.721	0.591
2068	0.502	0.396857142857143	1.16042857142857	0.119	0.276571428571429	0.166428571428571	0.152	0.0511428571428571	0.136285714285714	0.499428571428571	0.489571428571429
2069	0.364857142857143	0.0641428571428571	0.241428571428571	0.163428571428571	0.0491428571428571	0.359285714285714	0.036	0.0582857142857143	0.0542857142857143	0.100285714285714	0.131571428571429
2070	0.392428571428571	0.276714285714286	0.161714285714286	0.125142857142857	0.227428571428571	0.292	0.980714285714286	0.434142857142857	0.786571428571429	0.238	0.256
